date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,14,7.8,18.9,0,0,268,6.1,,1016.8,
2020-01-02,15.1,10,20.6,0,0,357,5.4,,1015.2,
2020-01-03,15.1,9.4,21.1,0,0,336,4,,1023.3,
2020-01-04,14.3,8.3,20.6,0,0,343,4.7,,1026.5,
2020-01-05,14.1,8.3,21.1,0,0,346,4.3,,1024.9,
2020-01-06,14.9,7.8,26.1,0,0,340,3.2,,1023.6,
2020-01-07,14.9,6.7,23.9,0,0,335,4.3,,1019.7,
2020-01-08,13.2,7.8,17.8,0,0,154,8.3,,1017,
2020-01-09,15.2,11.1,17.8,1.3,0,265,12.6,,1016.2,
2020-01-10,13.1,8.3,18.3,0,0,341,5.4,,1022.8,
2020-01-11,12.2,6.1,17.8,0,0,239,5.8,,1021.4,
2020-01-12,14.3,9.4,17.8,0,0,351,6.1,,1018.9,
2020-01-13,14,10.6,17.8,0,0,116,7.2,,1019.6,
2020-01-14,13.8,10,17.8,0,0,343,4.7,,1019.7,
2020-01-15,12.6,7.2,18.3,0,0,345,4.3,,1016.7,
2020-01-16,13.7,11.7,16.7,0,0,205,7.6,,1018.6,
2020-01-17,14.4,10.6,17.8,4.6,0,62,7.9,,1022.8,
2020-01-18,13.4,7.2,20.6,0,0,345,4.3,,1021.8,
2020-01-19,14.2,7.2,23.3,0,0,338,4,,1019.1,
2020-01-20,15.7,12.2,19.4,0,0,22,5.4,,1018.7,
2020-01-21,15.3,12.2,17.2,6.4,0,263,7.2,,1021.4,
2020-01-22,14.9,12.2,18.3,0,0,341,6.1,,1021.9,
2020-01-23,14.6,9.4,20.6,0,0,337,5.4,,1019.3,
2020-01-24,15.2,11.7,19.4,0,0,312,5.4,,1016.6,
2020-01-25,14.9,12.2,18.3,0,0,289,5.8,,1018.2,
2020-01-26,15.4,13.9,17.2,0,0,250,7.2,,1021.4,
2020-01-27,15.2,10.6,18.9,0,0,342,5.4,,1022.5,
2020-01-28,15.6,10,22.8,0,0,332,6.5,,1020.6,
2020-01-29,15.5,11.1,22.2,0,0,350,7.2,,1016.3,
2020-01-30,16.9,8.3,22.8,0,0,329,6.1,,1019.3,
2020-01-31,16.1,8.3,26.7,0,0,344,5.8,,1022.4,
2020-02-01,17.6,9.4,26.7,0,0,341,4,,1021.6,
2020-02-02,17.3,10.6,19.4,0,0,262,9,,1015,
