ConnNode	Interval-1_Load	Interval-2_Load
1	-55	-55
2	-3	-3
3	-41	-41
5	-13	-13
6	-75	-75
8	-150	-155
9	-121	-121
10	-5	-5
12	-377	-377
13	-18	-18
14	-10.5	-10.5
15	-22	-22
16	-43	-43
17	-42	-42
18	-27.2	-27.2
19	-3.3	-3.3
20	-2.3	-2.3
23	-6.3	-6.3
25	-6.3	-6.7
27	-9.3	-9.3
28	-4.6	-4.6
29	-17	-17
30	-3.6	-3.6
31	-5.8	-5.8
32	-1.6	-1.6
33	-3.8	-3.8
35	-6	-6
38	-14	-14
41	-6.3	-6.3
42	-7.1	-7.1
43	-2	-2
44	-12	-12
47	-29.7	-29.7
49	-18	-18
50	-21	-21
51	-18	-18
52	-4.9	-4.9
53	-20	-20
54	-4.1	-4.1
55	-6.8	-6.8
56	-7.6	-7.6
57	-6.7	-6.7
	-1250.8	-1256.2
		-5.4
