fromNode	toNode	Resistance	Reactance	ContingencyMarked	Capacity
1	2	0.001	0.014	0	17500
1	3	0.001	0.211	0	17500
1	5	0.001	0.085	1	17500
2	4	0.001	0.127	0	17500
2	6	0.001	0.192	1	17500
3	9	0.001	0.119	0	17500
3	24	0.001	0.084	1	40000
4	9	0.001	0.104	0	17500
5	10	0.001	0.088	0	17500
6	10	0.001	0.061	0	17500
7	8	0.001	0.061	0	17500
8	9	0.001	0.165	0	17500
8	10	0.001	0.165	0	17500
9	11	0.001	0.084	0	40000
9	12	0.001	0.084	0	40000
10	11	0.001	0.084	0	40000
10	12	0.001	0.084	0	40000
11	13	0.001	0.048	0	50000
11	14	0.001	0.042	0	50000
12	13	0.001	0.048	0	50000
12	23	0.001	0.097	0	50000
13	23	0.001	0.087	0	50000
14	16	0.001	0.059	0	50000
15	16	0.001	0.017	0	50000
15	21	0.001	0.0245	0	100000
15	24	0.001	0.052	0	50000
16	17	0.001	0.026	0	50000
16	19	0.001	0.023	0	50000
17	18	0.001	0.014	0	50000
17	22	0.001	0.105	0	50000
18	21	0.001	0.013	0	100000
19	20	0.001	0.02	0	100000
20	23	0.001	0.011	0	100000
21	22	0.001	0.068	0	50000
25	26	0.001	0.014	0	17500
25	27	0.001	0.211	0	17500
25	29	0.001	0.085	0	17500
26	28	0.001	0.127	0	17500
26	30	0.001	0.192	0	17500
27	33	0.001	0.119	0	17500
27	48	0.001	0.084	0	40000
28	33	0.001	0.104	0	17500
29	34	0.001	0.088	0	17500
30	34	0.001	0.061	0	17500
31	32	0.001	0.061	0	17500
32	33	0.001	0.165	0	17500
32	34	0.001	0.165	0	17500
33	35	0.001	0.084	0	40000
33	36	0.001	0.084	0	40000
34	35	0.001	0.084	0	40000
34	36	0.001	0.084	0	40000
35	37	0.001	0.048	0	50000
35	38	0.001	0.042	0	50000
36	37	0.001	0.048	0	50000
36	47	0.001	0.097	0	50000
37	47	0.001	0.087	0	50000
38	40	0.001	0.059	0	50000
39	40	0.001	0.017	0	50000
39	45	0.001	0.0245	0	100000
39	48	0.001	0.052	0	50000
40	41	0.001	0.026	0	50000
40	43	0.001	0.023	0	50000
41	42	0.001	0.014	0	50000
41	46	0.001	0.105	0	50000
42	45	0.001	0.013	0	100000
43	44	0.001	0.02	0	100000
44	47	0.001	0.011	0	100000
45	46	0.001	0.068	0	50000
7	27	0.001	0.161	0	50000
13	39	0.001	0.075	0	50000
23	41	0.001	0.074	0	50000
