slot,cluster
1,9
2,4
3,3
4,8
5,2
6,3
7,4
8,2
9,9
10,9
11,6
12,9
13,2
14,7
15,6
16,6
17,9
18,2
19,8
20,9
21,2
22,6
23,2
24,9
25,9
26,8
27,3
28,4
29,2
30,3
31,8
32,1
33,2
34,6
35,6
36,9
37,1
38,2
39,4
40,8
41,2
42,9
43,2
44,8
45,5
46,8
47,1
48,4
49,9
50,2
51,3
52,2
53,6
54,6
55,9
56,6
57,3
58,2
59,6
60,6
61,6
62,9
63,4
64,7
65,3
66,6
67,6
68,6
69,9
70,1
71,2
72,7
73,3
74,5
75,5
76,6
77,6
78,6
79,9
80,4
81,8
82,8
83,1
84,7
85,7
86,3
87,5
88,2
89,5
90,7
91,7
92,3
93,5
94,2
95,1
96,1
97,3
98,5
99,1
100,1
101,7
102,7
103,6
104,6
105,6
106,9
107,4
108,7
109,3
110,3
111,8
112,4
113,7
114,7
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,3
123,3
124,7
125,7
126,5
127,3
128,2
129,1
130,1
131,9
132,1
133,1
134,1
135,1
136,1
137,7
138,7
139,3
140,3
141,1
142,1
143,7
144,6
145,5
146,6
147,6
148,3
149,7
150,7
151,5
152,5
153,7
154,5
155,5
156,7
157,1
158,1
159,1
160,1
161,3
162,5
163,5
164,2
165,7
166,5
167,5
168,1
169,7
170,3
171,6
172,3
173,1
174,7
175,7
176,7
177,10
178,7
179,7
180,7
181,7
182,7
183,2
184,5
185,5
186,5
187,7
188,7
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,7
198,7
199,7
200,7
201,7
202,7
203,1
204,1
205,7
206,3
207,3
208,4
209,1
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,7
218,1
219,7
220,1
221,1
222,1
223,1
224,7
225,7
226,1
227,7
228,5
229,7
230,1
231,1
232,1
233,1
234,1
235,7
236,3
237,7
238,5
239,1
240,1
241,1
242,1
243,1
244,1
245,7
246,7
247,7
248,7
249,7
250,1
251,7
252,8
253,1
254,7
255,3
256,5
257,2
258,1
259,1
260,1
261,1
262,1
263,7
264,7
265,7
266,7
267,7
268,3
269,3
270,5
271,1
272,1
273,9
274,4
275,2
276,1
277,3
278,9
279,2
280,8
281,4
282,2
283,8
284,4
285,2
286,5
287,6
288,8
289,2
290,3
291,9
292,1
293,2
294,5
295,5
296,5
297,3
298,3
299,3
300,9
301,4
302,2
303,7
304,1
305,1
306,7
307,3
308,4
309,1
310,8
311,4
312,1
313,9
314,6
315,6
316,9
317,4
318,4
319,4
320,1
321,4
322,2
323,8
324,1
325,1
326,2
327,8
328,8
329,4
330,8
331,2
332,4
333,1
334,8
335,8
336,8
337,2
338,8
339,8
340,4
341,8
342,4
343,2
344,6
345,4
346,4
347,3
348,3
349,6
350,9
351,8
352,2
353,5
354,6
355,9
356,2
357,9
358,9
359,4
360,6
361,4
362,8
363,4
364,4
365,3
