,onshore_wind_turbine_1,biomass_2,conventional_hydroelectric_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combustion_turbine_6,natural_gas_steam_turbine_7,nuclear_8,onshore_wind_turbine_9,small_hydroelectric_10,solar_photovoltaic_11,conventional_steam_coal_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combustion_turbine_14,onshore_wind_turbine_15,solar_photovoltaic_16,naturalgas_ccccsavgcf_17,naturalgas_ccavgcf_18,naturalgas_ctavgcf_19,landbasedwind_ltrg1_20,landbasedwind_ltrg1_21,landbasedwind_ltrg1_22,utilitypv_losangeles_23,utilitypv_losangeles_24,utilitypv_losangeles_25,utilitypv_losangeles_26,battery_27,naturalgas_ccs100_28,naturalgas_ccccsavgcf_29,naturalgas_ccavgcf_30,naturalgas_ctavgcf_31,landbasedwind_ltrg1_32,landbasedwind_ltrg1_33,landbasedwind_ltrg1_34,offshorewind_otrg3_35,offshorewind_otrg3_36,offshorewind_otrg3_37,utilitypv_losangeles_38,utilitypv_losangeles_39,battery_40,naturalgas_ccs100_41,naturalgas_ccccsavgcf_42,naturalgas_ccavgcf_43,naturalgas_ctavgcf_44,landbasedwind_ltrg1_45,landbasedwind_ltrg1_46,landbasedwind_ltrg1_47,landbasedwind_ltrg1_48,landbasedwind_ltrg1_49,landbasedwind_ltrg1_50,landbasedwind_ltrg1_51,utilitypv_losangeles_52,utilitypv_losangeles_53,battery_54,naturalgas_ccs100_55
1,0.1844,1,0.066826255,1,1,1,1,1,0.1041,1,0.0,1,1,1,0.1451,0.0,1,1,1,0.2735,0.2138,0.2207,0.0,0.0,0.0,0.0,1,1,1,1,1,0.2848,0.2469,0.0337,0.2203,0.2502,0.2446,0.0,0.0,1,1,1,1,1,0.2898,0.3769,0.3546,0.2133,0.1714,0.3065,0.0791,0.0,0.0,1,1
2,0.1263,1,0.066788942,1,1,1,1,1,0.0902,1,0.0,1,1,1,0.1546,0.0,1,1,1,0.1881,0.1404,0.1934,0.0,0.0,0.0,0.0,1,1,1,1,1,0.1883,0.1803,0.2404,0.2007,0.2344,0.2317,0.0,0.0,1,1,1,1,1,0.1517,0.3579,0.1647,0.1337,0.1089,0.155,0.0867,0.0,0.0,1,1
3,0.0817,1,0.066751629,1,1,1,1,1,0.0729,1,0.0,1,1,1,0.1998,0.0,1,1,1,0.1468,0.0993,0.149,0.0,0.0,0.0,0.0,1,1,1,1,1,0.1669,0.153,0.2585,0.1571,0.1682,0.1659,0.0,0.0,1,1,1,1,1,0.1421,0.391,0.1362,0.1254,0.1228,0.1406,0.1837,0.0,0.0,1,1
4,0.0494,1,0.066714317,1,1,1,1,1,0.0659,1,0.0,1,1,1,0.1591,0.0,1,1,1,0.0841,0.0671,0.0945,0.0,0.0,0.0,0.0,1,1,1,1,1,0.1599,0.1407,0.1597,0.1244,0.1311,0.1268,0.0,0.0,1,1,1,1,1,0.1278,0.2682,0.1337,0.1267,0.0963,0.1293,0.1416,0.0,0.0,1,1
5,0.0344,1,0.066677004,1,1,1,1,1,0.1013,1,0.0,1,1,1,0.1746,0.0,1,1,1,0.047,0.0416,0.0713,0.0,0.0,0.0,0.0,1,1,1,1,1,0.2455,0.2022,0.149,0.1299,0.1307,0.1198,0.0,0.0,1,1,1,1,1,0.205,0.1948,0.2365,0.1596,0.1229,0.2131,0.1761,0.0,0.0,1,1
6,0.0381,1,0.066639691,1,1,1,1,1,0.1,1,0.1594,1,1,1,0.138,0.1791,1,1,1,0.065,0.0547,0.0738,0.2142,0.222,0.1914,0.2699,1,1,1,1,1,0.2813,0.1923,0.1434,0.035,0.0187,0.0228,0.2335,0.2614,1,1,1,1,1,0.0525,0.2002,0.0131,0.0792,0.0951,0.0424,0.1726,0.1672,0.2157,1,1
7,0.0428,1,0.066602378,1,1,1,1,1,0.0948,1,0.3646,1,1,1,0.1027,0.3971,1,1,1,0.0523,0.0445,0.0691,0.5079,0.5095,0.437,0.5744,1,1,1,1,1,0.1735,0.1261,0.1405,0.0355,0.0235,0.0223,0.5168,0.5205,1,1,1,1,1,0.0164,0.1329,0.0,0.0147,0.0262,0.0122,0.1326,0.4551,0.5314,1,1
8,0.0512,1,0.066565066,1,1,1,1,1,0.1621,1,0.496,1,1,1,0.0955,0.4586,1,1,1,0.0547,0.0541,0.0771,0.6951,0.696,0.5638,0.7417,1,1,1,1,1,0.2555,0.2337,0.0583,0.1293,0.1337,0.1507,0.6974,0.722,1,1,1,1,1,0.0,0.0972,0.0,0.0096,0.0325,0.0,0.1618,0.6462,0.7378,1,1
9,0.0488,1,0.066527753,1,1,1,1,1,0.1671,1,0.5863,1,1,1,0.0769,0.4157,1,1,1,0.0668,0.0421,0.0855,0.7709,0.7341,0.6221,0.7776,1,1,1,1,1,0.2311,0.2251,0.0308,0.137,0.1376,0.1369,0.7539,0.782,1,1,1,1,1,0.0,0.0809,0.0,0.0059,0.0236,0.0,0.1116,0.6808,0.8011,1,1
10,0.0487,1,0.06649044,1,1,1,1,1,0.1997,1,0.6285,1,1,1,0.0297,0.5192,1,1,1,0.0614,0.0518,0.1081,0.7877,0.7578,0.7124,0.7879,1,1,1,1,1,0.2254,0.237,0.0173,0.0863,0.1059,0.0946,0.7685,0.8008,1,1,1,1,1,0.0014,0.0437,0.0,0.0021,0.0087,0.001,0.0255,0.7213,0.8373,1,1
