Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
9000.0,1.0,1.0,1.0,9000.0,10.0,24.0,816.0,1,0.0,47156.0,3538.0
,2.0,0.067,0.075,603.0,,,1344.0,2,0.0,47467.0,3558.0
,,,,,,,936.0,3,0.0,48867.0,3611.0
,,,,,,,1128.0,4,0.0,52596.0,3759.0
,,,,,,,912.0,5,0.0,58249.0,3996.0
,,,,,,,936.0,6,0.0,59470.0,4112.0
,,,,,,,696.0,7,0.0,56754.0,4011.0
,,,,,,,1944.0,8,0.0,53849.0,3862.0
,,,,,,,24.0,9,0.0,50888.0,3688.0
,,,,,,,24.0,10,0.0,47870.0,3518.0
,,,,,,,,11,0.0,45514.0,3380.0
,,,,,,,,12,0.0,43707.0,3288.0
,,,,,,,,13,0.0,41975.0,3211.0
,,,,,,,,14,0.0,40889.0,3165.0
,,,,,,,,15,0.0,40763.0,3167.0
,,,,,,,,16,0.0,42678.0,3213.0
,,,,,,,,17,0.0,46502.0,3454.0
,,,,,,,,18,0.0,47323.0,3562.0
,,,,,,,,19,0.0,47793.0,3596.0
,,,,,,,,20,0.0,47503.0,3604.0
,,,,,,,,21,0.0,46204.0,3562.0
,,,,,,,,22,0.0,44459.0,3480.0
,,,,,,,,23,0.0,43202.0,3441.0
,,,,,,,,24,0.0,42629.0,3423.0
,,,,,,,,25,0.0,32688.0,2685.0
,,,,,,,,26,0.0,32171.0,2673.0
,,,,,,,,27,0.0,32473.0,2698.0
,,,,,,,,28,0.0,33688.0,2762.0
,,,,,,,,29,0.0,34694.0,2837.0
,,,,,,,,30,0.0,36383.0,2897.0
,,,,,,,,31,0.0,38939.0,2998.0
,,,,,,,,32,0.0,41306.0,3064.0
,,,,,,,,33,0.0,42996.0,3095.0
,,,,,,,,34,0.0,44345.0,3094.0
,,,,,,,,35,0.0,45239.0,3097.0
,,,,,,,,36,0.0,45919.0,3083.0
,,,,,,,,37,0.0,46343.0,3086.0
,,,,,,,,38,0.0,46306.0,3091.0
,,,,,,,,39,0.0,45773.0,3084.0
,,,,,,,,40,0.0,44664.0,3081.0
,,,,,,,,41,0.0,44667.0,3137.0
,,,,,,,,42,0.0,43450.0,3166.0
,,,,,,,,43,0.0,41536.0,3106.0
,,,,,,,,44,0.0,39097.0,3019.0
,,,,,,,,45,0.0,36151.0,2912.0
,,,,,,,,46,0.0,33611.0,2865.0
,,,,,,,,47,0.0,31811.0,2815.0
,,,,,,,,48,0.0,30608.0,2782.0
,,,,,,,,49,0.0,43005.0,3145.0
,,,,,,,,50,0.0,42692.0,3117.0
,,,,,,,,51,0.0,43752.0,3136.0
,,,,,,,,52,0.0,45291.0,3211.0
,,,,,,,,53,0.0,46974.0,3291.0
,,,,,,,,54,0.0,50929.0,3484.0
,,,,,,,,55,0.0,55654.0,3705.0
,,,,,,,,56,0.0,60460.0,3915.0
,,,,,,,,57,0.0,64894.0,4120.0
,,,,,,,,58,0.0,68572.0,4276.0
,,,,,,,,59,0.0,71851.0,4404.0
,,,,,,,,60,0.0,74303.0,4489.0
,,,,,,,,61,0.0,76155.0,4538.0
,,,,,,,,62,0.0,77126.0,4600.0
,,,,,,,,63,0.0,76538.0,4589.0
,,,,,,,,64,0.0,74428.0,4449.0
,,,,,,,,65,0.0,71136.0,4311.0
,,,,,,,,66,0.0,68134.0,4141.0
,,,,,,,,67,0.0,65881.0,4079.0
,,,,,,,,68,0.0,60904.0,3873.0
,,,,,,,,69,0.0,55373.0,3610.0
,,,,,,,,70,0.0,50622.0,3417.0
,,,,,,,,71,0.0,47208.0,3265.0
,,,,,,,,72,0.0,44782.0,3163.0
,,,,,,,,73,0.0,33637.0,3028.0
,,,,,,,,74,0.0,33491.0,3026.0
,,,,,,,,75,0.0,34356.0,3066.0
,,,,,,,,76,0.0,37137.0,3195.0
,,,,,,,,77,0.0,41897.0,3415.0
,,,,,,,,78,0.0,43210.0,3519.0
,,,,,,,,79,0.0,42702.0,3499.0
,,,,,,,,80,0.0,42903.0,3501.0
,,,,,,,,81,0.0,42948.0,3481.0
,,,,,,,,82,0.0,42693.0,3452.0
,,,,,,,,83,0.0,42313.0,3390.0
,,,,,,,,84,0.0,42280.0,3342.0
,,,,,,,,85,0.0,41707.0,3283.0
,,,,,,,,86,0.0,41477.0,3249.0
,,,,,,,,87,0.0,42002.0,3265.0
,,,,,,,,88,0.0,44354.0,3326.0
,,,,,,,,89,0.0,45373.0,3445.0
,,,,,,,,90,0.0,44204.0,3414.0
,,,,,,,,91,0.0,43170.0,3386.0
,,,,,,,,92,0.0,41770.0,3342.0
,,,,,,,,93,0.0,39421.0,3249.0
,,,,,,,,94,0.0,36478.0,3146.0
,,,,,,,,95,0.0,33987.0,3041.0
,,,,,,,,96,0.0,32351.0,2982.0
,,,,,,,,97,0.0,36132.0,2952.0
,,,,,,,,98,0.0,36175.0,2939.0
,,,,,,,,99,0.0,38362.0,2997.0
,,,,,,,,100,0.0,42538.0,3166.0
,,,,,,,,101,0.0,44248.0,3245.0
,,,,,,,,102,0.0,45912.0,3315.0
,,,,,,,,103,0.0,48582.0,3425.0
,,,,,,,,104,0.0,51467.0,3575.0
,,,,,,,,105,0.0,54595.0,3744.0
,,,,,,,,106,0.0,57850.0,3915.0
,,,,,,,,107,0.0,61132.0,4116.0
,,,,,,,,108,0.0,63931.0,4289.0
,,,,,,,,109,0.0,66116.0,4457.0
,,,,,,,,110,0.0,67506.0,4579.0
,,,,,,,,111,0.0,67140.0,4568.0
,,,,,,,,112,0.0,64751.0,4471.0
,,,,,,,,113,0.0,61556.0,4324.0
,,,,,,,,114,0.0,60929.0,4211.0
,,,,,,,,115,0.0,58460.0,4091.0
,,,,,,,,116,0.0,53342.0,3849.0
,,,,,,,,117,0.0,47667.0,3559.0
,,,,,,,,118,0.0,43416.0,3329.0
,,,,,,,,119,0.0,40664.0,3168.0
,,,,,,,,120,0.0,38736.0,3049.0
,,,,,,,,121,0.0,33452.0,3074.0
,,,,,,,,122,0.0,33412.0,3081.0
,,,,,,,,123,0.0,33862.0,3113.0
,,,,,,,,124,0.0,35077.0,3176.0
,,,,,,,,125,0.0,36773.0,3265.0
,,,,,,,,126,0.0,38727.0,3370.0
,,,,,,,,127,0.0,41176.0,3468.0
,,,,,,,,128,0.0,43098.0,3516.0
,,,,,,,,129,0.0,43859.0,3488.0
,,,,,,,,130,0.0,43809.0,3423.0
,,,,,,,,131,0.0,43499.0,3376.0
,,,,,,,,132,0.0,42794.0,3336.0
,,,,,,,,133,0.0,42062.0,3289.0
,,,,,,,,134,0.0,41545.0,3258.0
,,,,,,,,135,0.0,41360.0,3261.0
,,,,,,,,136,0.0,41879.0,3273.0
,,,,,,,,137,0.0,44239.0,3365.0
,,,,,,,,138,0.0,45038.0,3446.0
,,,,,,,,139,0.0,44898.0,3448.0
,,,,,,,,140,0.0,45063.0,3489.0
,,,,,,,,141,0.0,43050.0,3372.0
,,,,,,,,142,0.0,40346.0,3238.0
,,,,,,,,143,0.0,38487.0,3153.0
,,,,,,,,144,0.0,37790.0,3114.0
,,,,,,,,145,0.0,29862.0,2785.0
,,,,,,,,146,0.0,29795.0,2789.0
,,,,,,,,147,0.0,30487.0,2814.0
,,,,,,,,148,0.0,32509.0,2912.0
,,,,,,,,149,0.0,35539.0,3053.0
,,,,,,,,150,0.0,37150.0,3146.0
,,,,,,,,151,0.0,37981.0,3158.0
,,,,,,,,152,0.0,39439.0,3258.0
,,,,,,,,153,0.0,40757.0,3291.0
,,,,,,,,154,0.0,41208.0,3266.0
,,,,,,,,155,0.0,41223.0,3222.0
,,,,,,,,156,0.0,41179.0,3217.0
,,,,,,,,157,0.0,40924.0,3152.0
,,,,,,,,158,0.0,40578.0,3100.0
,,,,,,,,159,0.0,40420.0,3076.0
,,,,,,,,160,0.0,41494.0,3074.0
,,,,,,,,161,0.0,44015.0,3191.0
,,,,,,,,162,0.0,43737.0,3213.0
,,,,,,,,163,0.0,42667.0,3185.0
,,,,,,,,164,0.0,40891.0,3106.0
,,,,,,,,165,0.0,37804.0,2972.0
,,,,,,,,166,0.0,34451.0,2826.0
,,,,,,,,167,0.0,32048.0,2752.0
,,,,,,,,168,0.0,30670.0,2707.0
,,,,,,,,169,0.0,44242.0,3302.0
,,,,,,,,170,0.0,43152.0,3237.0
,,,,,,,,171,0.0,43082.0,3209.0
,,,,,,,,172,0.0,43284.0,3215.0
,,,,,,,,173,0.0,43886.0,3222.0
,,,,,,,,174,0.0,47836.0,3423.0
,,,,,,,,175,0.0,53279.0,3712.0
,,,,,,,,176,0.0,58840.0,3986.0
,,,,,,,,177,0.0,64113.0,4277.0
,,,,,,,,178,0.0,68576.0,4540.0
