,onshore_wind_turbine_1,biomass_2,conventional_hydroelectric_3,conventional_steam_coal_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combustion_turbine_6,natural_gas_steam_turbine_7,nuclear_8,onshore_wind_turbine_9,small_hydroelectric_10,solar_photovoltaic_11,conventional_steam_coal_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combustion_turbine_14,onshore_wind_turbine_15,solar_photovoltaic_16,naturalgas_ccccsavgcf_17,naturalgas_ccavgcf_18,naturalgas_ctavgcf_19,landbasedwind_ltrg1_20,landbasedwind_ltrg1_21,landbasedwind_ltrg1_22,utilitypv_losangeles_23,utilitypv_losangeles_24,utilitypv_losangeles_25,utilitypv_losangeles_26,battery_27,naturalgas_ccs100_28,naturalgas_ccccsavgcf_29,naturalgas_ccavgcf_30,naturalgas_ctavgcf_31,landbasedwind_ltrg1_32,landbasedwind_ltrg1_33,landbasedwind_ltrg1_34,offshorewind_otrg3_35,offshorewind_otrg3_36,offshorewind_otrg3_37,utilitypv_losangeles_38,utilitypv_losangeles_39,battery_40,naturalgas_ccs100_41,naturalgas_ccccsavgcf_42,naturalgas_ccavgcf_43,naturalgas_ctavgcf_44,landbasedwind_ltrg1_45,landbasedwind_ltrg1_46,landbasedwind_ltrg1_47,landbasedwind_ltrg1_48,landbasedwind_ltrg1_49,landbasedwind_ltrg1_50,landbasedwind_ltrg1_51,utilitypv_losangeles_52,utilitypv_losangeles_53,battery_54,naturalgas_ccs100_55
1,0.2233,1,0.101524818,1,1,1,1,1,0.0637,1,0.0,1,1,1,0.1777,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.0489,0.0614,0.0564,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
2,0.1479,1,0.101358727,1,1,1,1,1,0.06,1,0.0,1,1,1,0.127,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.0204,0.0287,0.0261,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
3,0.217,1,0.101192637,1,1,1,1,1,0.0531,1,0.0,1,1,1,0.063,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.0046,0.006,0.0074,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
4,0.2766,1,0.101026547,1,1,1,1,1,0.0392,1,0.0,1,1,1,0.067,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1,1
5,0.2816,1,0.100860456,1,1,1,1,1,0.0315,1,0.0225,1,1,1,0.0445,0.0565,1,1,1,1,1,1,0.0426,0.0641,0.1052,0.1189,1,1,1,1,1,1,1,1,0.0031,0.0,0.0,0.0784,0.0768,1,1,1,1,1,1,1,1,1,1,1,1,0.039,0.0577,1,1
6,0.1899,1,0.100694366,1,1,1,1,1,0.0318,1,0.2546,1,1,1,0.0401,0.3303,1,1,1,1,1,1,0.3729,0.405,0.4067,0.4329,1,1,1,1,1,1,1,1,0.0286,0.017,0.0185,0.4081,0.404,1,1,1,1,1,1,1,1,1,1,1,1,0.4021,0.4239,1,1
7,0.1638,1,0.100528275,1,1,1,1,1,0.0204,1,0.415,1,1,1,0.0711,0.4891,1,1,1,1,1,1,0.5608,0.6013,0.6351,0.6829,1,1,1,1,1,1,1,1,0.0089,0.0,0.001,0.6423,0.6178,1,1,1,1,1,1,1,1,1,1,1,1,0.6074,0.6414,1,1
8,0.2178,1,0.100362185,1,1,1,1,1,0.0107,1,0.5293,1,1,1,0.1252,0.6031,1,1,1,1,1,1,0.7166,0.7176,0.7515,0.7971,1,1,1,1,1,1,1,1,0.0202,0.0027,0.0082,0.7425,0.7188,1,1,1,1,1,1,1,1,1,1,1,1,0.7364,0.7817,1,1
9,0.3129,1,0.100196095,1,1,1,1,1,0.0174,1,0.59,1,1,1,0.1276,0.5747,1,1,1,1,1,1,0.8702,0.8484,0.8026,0.823,1,1,1,1,1,1,1,1,0.0356,0.0141,0.0256,0.7761,0.765,1,1,1,1,1,1,1,1,1,1,1,1,0.7654,0.834,1,1
10,0.5555,1,0.100030004,1,1,1,1,1,0.0623,1,0.6137,1,1,1,0.102,0.5351,1,1,1,1,1,1,0.9147,0.9043,0.848,0.8602,1,1,1,1,1,1,1,1,0.0025,0.0024,0.0038,0.7986,0.7841,1,1,1,1,1,1,1,1,1,1,1,1,0.7639,0.8595,1,1
