Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
9000.0,1.0,1.0,1.0,9000.0,4.0,168.0,1344.0,1,0.0,28444.0,2662.0
,2.0,0.067,0.075,603.0,,,3192.0,2,0.0,29054.0,2704.0
,,,,,,,4032.0,3,0.0,31237.0,2813.0
,,,,,,,168.0,4,0.0,34485.0,2989.0
,,,,,,,,5,0.0,36831.0,3152.0
,,,,,,,,6,0.0,37061.0,3149.0
,,,,,,,,7,0.0,37596.0,3115.0
,,,,,,,,8,0.0,38165.0,3082.0
,,,,,,,,9,0.0,38404.0,3024.0
,,,,,,,,10,0.0,38625.0,2968.0
,,,,,,,,11,0.0,39183.0,2975.0
,,,,,,,,12,0.0,39668.0,2971.0
,,,,,,,,13,0.0,40117.0,2986.0
,,,,,,,,14,0.0,40556.0,3012.0
,,,,,,,,15,0.0,40710.0,2996.0
,,,,,,,,16,0.0,40524.0,2995.0
,,,,,,,,17,0.0,40932.0,2991.0
,,,,,,,,18,0.0,42264.0,3096.0
,,,,,,,,19,0.0,40746.0,3043.0
,,,,,,,,20,0.0,38264.0,2912.0
,,,,,,,,21,0.0,35048.0,2752.0
,,,,,,,,22,0.0,32281.0,2649.0
,,,,,,,,23,0.0,30575.0,2596.0
,,,,,,,,24,0.0,29634.0,2570.0
,,,,,,,,25,0.0,29161.0,2560.0
,,,,,,,,26,0.0,29358.0,2567.0
,,,,,,,,27,0.0,30998.0,2629.0
,,,,,,,,28,0.0,33827.0,2741.0
,,,,,,,,29,0.0,36104.0,2881.0
,,,,,,,,30,0.0,36604.0,2909.0
,,,,,,,,31,0.0,37895.0,2930.0
,,,,,,,,32,0.0,39423.0,2976.0
,,,,,,,,33,0.0,40542.0,3005.0
,,,,,,,,34,0.0,41099.0,2998.0
,,,,,,,,35,0.0,41865.0,3021.0
,,,,,,,,36,0.0,42380.0,3031.0
,,,,,,,,37,0.0,42914.0,3053.0
,,,,,,,,38,0.0,43275.0,3089.0
,,,,,,,,39,0.0,43052.0,3063.0
,,,,,,,,40,0.0,42370.0,3053.0
,,,,,,,,41,0.0,42519.0,3050.0
,,,,,,,,42,0.0,43640.0,3149.0
,,,,,,,,43,0.0,42186.0,3100.0
,,,,,,,,44,0.0,39623.0,2979.0
,,,,,,,,45,0.0,36252.0,2806.0
,,,,,,,,46,0.0,33403.0,2682.0
,,,,,,,,47,0.0,31592.0,2612.0
,,,,,,,,48,0.0,30432.0,2568.0
,,,,,,,,49,0.0,29904.0,2548.0
,,,,,,,,50,0.0,30049.0,2555.0
,,,,,,,,51,0.0,31659.0,2615.0
,,,,,,,,52,0.0,34582.0,2738.0
,,,,,,,,53,0.0,36614.0,2869.0
,,,,,,,,54,0.0,37215.0,2893.0
,,,,,,,,55,0.0,38477.0,2940.0
,,,,,,,,56,0.0,40152.0,2981.0
,,,,,,,,57,0.0,41509.0,3011.0
,,,,,,,,58,0.0,42391.0,3013.0
,,,,,,,,59,0.0,43307.0,3046.0
,,,,,,,,60,0.0,43864.0,3058.0
,,,,,,,,61,0.0,44205.0,3084.0
,,,,,,,,62,0.0,44295.0,3111.0
,,,,,,,,63,0.0,43939.0,3091.0
,,,,,,,,64,0.0,43069.0,3076.0
,,,,,,,,65,0.0,43109.0,3056.0
,,,,,,,,66,0.0,43987.0,3141.0
,,,,,,,,67,0.0,42694.0,3095.0
,,,,,,,,68,0.0,40067.0,2981.0
,,,,,,,,69,0.0,36771.0,2823.0
,,,,,,,,70,0.0,33981.0,2687.0
,,,,,,,,71,0.0,32171.0,2604.0
,,,,,,,,72,0.0,30983.0,2559.0
,,,,,,,,73,0.0,30458.0,2530.0
,,,,,,,,74,0.0,30629.0,2549.0
,,,,,,,,75,0.0,32146.0,2587.0
,,,,,,,,76,0.0,35068.0,2711.0
,,,,,,,,77,0.0,37126.0,2838.0
,,,,,,,,78,0.0,37850.0,2866.0
,,,,,,,,79,0.0,39367.0,2930.0
,,,,,,,,80,0.0,41212.0,2987.0
,,,,,,,,81,0.0,42682.0,3033.0
,,,,,,,,82,0.0,43784.0,3042.0
,,,,,,,,83,0.0,44796.0,3077.0
,,,,,,,,84,0.0,45506.0,3085.0
,,,,,,,,85,0.0,45997.0,3120.0
,,,,,,,,86,0.0,46098.0,3148.0
,,,,,,,,87,0.0,45602.0,3113.0
,,,,,,,,88,0.0,44431.0,3074.0
,,,,,,,,89,0.0,44172.0,3051.0
,,,,,,,,90,0.0,45146.0,3141.0
,,,,,,,,91,0.0,43695.0,3095.0
,,,,,,,,92,0.0,40897.0,2976.0
,,,,,,,,93,0.0,37558.0,2811.0
,,,,,,,,94,0.0,34694.0,2681.0
,,,,,,,,95,0.0,32787.0,2611.0
,,,,,,,,96,0.0,31537.0,2570.0
,,,,,,,,97,0.0,30880.0,2554.0
,,,,,,,,98,0.0,30929.0,2559.0
,,,,,,,,99,0.0,32372.0,2618.0
,,,,,,,,100,0.0,35205.0,2738.0
,,,,,,,,101,0.0,37136.0,2854.0
,,,,,,,,102,0.0,37791.0,2889.0
,,,,,,,,103,0.0,39425.0,2956.0
,,,,,,,,104,0.0,41295.0,3035.0
,,,,,,,,105,0.0,42647.0,3075.0
,,,,,,,,106,0.0,43568.0,3075.0
,,,,,,,,107,0.0,44513.0,3092.0
,,,,,,,,108,0.0,45232.0,3102.0
,,,,,,,,109,0.0,45737.0,3108.0
,,,,,,,,110,0.0,45609.0,3112.0
,,,,,,,,111,0.0,44618.0,3050.0
,,,,,,,,112,0.0,43004.0,3011.0
,,,,,,,,113,0.0,42949.0,3003.0
,,,,,,,,114,0.0,43695.0,3088.0
,,,,,,,,115,0.0,42505.0,3037.0
,,,,,,,,116,0.0,40279.0,2956.0
,,,,,,,,117,0.0,37494.0,2829.0
,,,,,,,,118,0.0,34782.0,2705.0
,,,,,,,,119,0.0,32802.0,2627.0
,,,,,,,,120,0.0,31384.0,2569.0
,,,,,,,,121,0.0,30539.0,2542.0
,,,,,,,,122,0.0,30215.0,2539.0
,,,,,,,,123,0.0,30592.0,2558.0
,,,,,,,,124,0.0,31793.0,2622.0
,,,,,,,,125,0.0,33084.0,2698.0
,,,,,,,,126,0.0,34128.0,2734.0
