Hour,WEC_SDGE_biomass_1.0,WEC_SDGE_hydroelectric_pumped_storage_1.0,WEC_SDGE_natural_gas_fired_combined_cycle_1.0,WEC_SDGE_natural_gas_fired_combined_cycle_2.0,WEC_SDGE_natural_gas_fired_combined_cycle_3.0,WEC_SDGE_natural_gas_fired_combined_cycle_4.0,WEC_SDGE_natural_gas_fired_combustion_turbine_1.0,WEC_SDGE_natural_gas_fired_combustion_turbine_2.0,WEC_SDGE_natural_gas_fired_combustion_turbine_3.0,WEC_SDGE_natural_gas_fired_combustion_turbine_4.0,WEC_SDGE_natural_gas_fired_combustion_turbine_5.0,WEC_SDGE_natural_gas_fired_combustion_turbine_6.0,WEC_SDGE_natural_gas_fired_combustion_turbine_7.0,WEC_SDGE_natural_gas_fired_combustion_turbine_8.0,WEC_SDGE_natural_gas_fired_combustion_turbine_9.0,WEC_SDGE_natural_gas_fired_combustion_turbine_10.0,WEC_SDGE_natural_gas_fired_combustion_turbine_11.0,WEC_SDGE_natural_gas_fired_combustion_turbine_12.0,WEC_SDGE_onshore_wind_turbine_1.0,WEC_SDGE_small_hydroelectric_1.0,WEC_SDGE_solar_photovoltaic_1.0,WEC_SDGE_naturalgas_ccccsavgcf_0.0,WEC_SDGE_naturalgas_ccavgcf_0.0,WEC_SDGE_naturalgas_ctavgcf_0.0,WEC_SDGE_battery_0.0,WEC_SDGE_naturalgas_ccs100_0.0,WEC_SDGE_landbasedwind_ltrg1_1.0,WEC_SDGE_landbasedwind_ltrg1_2.0,WEC_SDGE_utilitypv_losangeles_1.0,WEC_SDGE_utilitypv_losangeles_2.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1622,0.3016,0.2905,1,1,1,1,1,0.02964424,0.227435485,0.440206319,0.430380791
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2412,0.3013,0,1,1,1,1,1,0.053404614,0.35195908,0,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1262,0.301,0,1,1,1,1,1,0.045622487,0.216340333,0,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1549,0.3006,0,1,1,1,1,1,0.09080191,0.293224394,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.169,0.3003,0,1,1,1,1,1,0.177523956,0.327251792,0,0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4212,0.3,0,1,1,1,1,1,0.196106315,0.608014822,0,0
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3381,0.2997,0,1,1,1,1,1,0.163480639,0.500772417,0,0
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2026,0.2994,0,1,1,1,1,1,0.12931183,0.296465069,0,0
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1694,0.299,0,1,1,1,1,1,0.131447554,0.235185683,0,0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1658,0.2987,0,1,1,1,1,1,0.162791938,0.232550442,0,0
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1502,0.2984,0,1,1,1,1,1,0.1695849,0.197421595,0,0
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1455,0.2981,0,1,1,1,1,1,0.115781084,0.168984741,0,0
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0932,0.2978,0,1,1,1,1,1,0.063578397,0.09624064,0,0
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0717,0.2974,0,1,1,1,1,1,0.073658198,0.073604748,0,0
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0211,0.2971,0,1,1,1,1,1,0.191722095,0.02317347,0,0
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0216,0.2968,0.0488,1,1,1,1,1,0.141564459,0.022771008,0.160354823,0.126487225
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0216,0.2965,0.3515,1,1,1,1,1,0.172937483,0.033480301,0.530314207,0.517171383
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0059,0.2962,0.5168,1,1,1,1,1,0.100785479,0.024017813,0.737064183,0.725975394
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0682,0.2959,0.6122,1,1,1,1,1,0.041374963,0.094797909,0.841204882,0.83286947
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1199,0.2955,0.6688,1,1,1,1,1,0.060162984,0.147754535,0.897431374,0.887031794
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3687,0.2952,0.6849,1,1,1,1,1,0.139278054,0.450697184,0.916456223,0.902784824
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4727,0.2949,0.672,1,1,1,1,1,0.159188926,0.573996007,0.8962937,0.884609818
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3278,0.2946,0.6317,1,1,1,1,1,0.143300146,0.390864283,0.850939989,0.841098547
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4988,0.2943,0.5018,1,1,1,1,1,0.263135701,0.574528933,0.69840014,0.688652158
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3505,0.2939,0.3052,1,1,1,1,1,0.167211637,0.418119013,0.450361133,0.444695801
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1634,0.2936,0,1,1,1,1,1,0.04041839,0.192848206,0,0
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0724,0.2933,0,1,1,1,1,1,0.016701991,0.10027355,0,0
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2839,0.293,0,1,1,1,1,1,0.152068675,0.419611603,0,0
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2899,0.2927,0,1,1,1,1,1,0.226495713,0.389266849,0,0
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3731,0.2923,0,1,1,1,1,1,0.270795286,0.521989942,0,0
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.356,0.292,0,1,1,1,1,1,0.298206151,0.455315709,0,0
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3843,0.2917,0,1,1,1,1,1,0.271383047,0.473572254,0,0
