Hour,Demand
1,2274
2,2581
3,2576
4,2482
5,2396
6,2193
7,1929
8,1715
9,1555
10,1473
11,1463
12,1503
13,1642
14,1850
15,2051
16,2129
17,2205
18,2284
19,2313
20,2412
21,2388
22,2310
23,2254
24,2202
25,2202
26,2437
27,2453
28,2409
29,2349
30,2176
31,1884
32,1617
33,1451
34,1377
35,1410
36,1488
37,1669
38,1931
39,2182
40,2302
41,2421
42,2535
43,2588
44,2684
45,2654
46,2567
47,2506
48,2437
49,2416
50,2592
51,2632
52,2581
53,2501
54,2351
55,2087
56,1728
57,1546
58,1454
59,1432
60,1497
61,1682
62,1994
63,2362
64,2584
65,2746
66,2906
67,3030
68,2900
69,2690
70,2633
71,2577
72,2486
73,2492
74,2720
75,2743
76,2676
77,2585
78,2329
79,1988
80,1725
81,1596
82,1506
83,1478
84,1530
85,1714
86,2020
87,2413
88,2635
89,2782
90,2915
91,3040
92,2919
93,2720
94,2668
95,2612
96,2544
97,2540
98,2737
99,2746
100,2678
101,2586
102,2391
103,2038
104,1757
105,1639
106,1545
107,1525
108,1606
109,1776
110,2080
111,2445
112,2632
113,2790
114,2934
115,3050
116,2926
117,2723
118,2669
119,2606
120,2535
121,2524
122,2715
123,2733
124,2657
125,2572
126,2342
127,2012
128,1759
129,1641
130,1556
131,1537
132,1584
133,1763
134,2059
135,2424
136,2637
137,2792
138,2929
139,3037
140,2891
141,2667
142,2596
143,2527
144,2445
145,2457
146,2649
147,2664
148,2582
149,2514
150,2292
151,2004
152,1782
153,1662
154,1570
155,1527
156,1560
157,1707
158,1921
159,2179
160,2317
161,2487
162,2668
163,2769
164,2616
165,2389
166,2305
167,2239
168,2186
169,2217
170,2488
171,2495
172,2445
173,2380
174,2188
175,1898
176,1672
177,1522
178,1451
179,1461
180,1531
181,1690
182,1911
183,2150
184,2248
185,2337
186,2402
187,2415
188,2494
189,2460
190,2384
191,2315
192,2243
193,2229
194,2453
195,2491
196,2457
197,2385
198,2120
199,1803
200,1556
201,1426
202,1370
203,1407
204,1499
205,1704
206,2057
207,2525
208,2740
209,2797
210,2829
211,2825
212,2893
213,2860
214,2789
215,2705
216,2595
217,2537
218,2689
219,2719
220,2662
221,2578
222,2298
223,1959
224,1702
225,1599
226,1523
227,1497
228,1564
229,1751
230,2073
231,2527
232,2775
233,2875
234,2962
235,3048
236,2898
237,2676
238,2598
239,2523
240,2460
241,2452
242,2686
243,2719
244,2663
245,2584
246,2323
247,1994
248,1742
249,1627
250,1543
251,1523
252,1587
253,1775
254,2094
255,2533
256,2771
257,2886
258,3014
259,3076
260,2909
261,2682
262,2585
263,2535
264,2472
265,2483
266,2698
267,2718
268,2674
269,2599
270,2328
271,2011
272,1762
273,1641
274,1563
275,1536
276,1602
277,1777
278,2070
279,2493
280,2704
281,2836
282,2954
283,3061
284,2902
285,2699
286,2655
287,2592
288,2526
289,2508
290,2686
291,2728
292,2658
293,2593
294,2334
295,2006
296,1779
297,1668
298,1597
299,1569
300,1623
301,1795
302,2095
303,2527
304,2772
305,2889
306,3001
307,3094
308,2915
309,2686
310,2625
311,2550
312,2478
313,2474
314,2659
315,2681
316,2612
317,2541
318,2276
319,1985
320,1744
321,1633
322,1555
323,1524
324,1574
325,1715
326,1934
327,2221
328,2394
329,2602
330,2762
331,2868
332,2697
333,2459
334,2370
335,2296
336,2240
337,2262
338,2525
339,2551
340,2500
341,2437
342,2177
343,1891
344,1652
345,1498
346,1442
347,1466
348,1545
349,1683
350,1913
351,2158
352,2299
353,2418
354,2503
355,2510
356,2563
357,2523
358,2446
359,2378
360,2334
361,2345
362,2539
363,2555
364,2510
365,2434
366,2169
367,1871
368,1622
369,1453
370,1387
371,1423
372,1521
373,1710
374,2020
375,2380
376,2590
377,2724
378,2818
379,2850
380,2912
381,2861
382,2779
383,2697
384,2616
385,2603
386,2757
387,2828
388,2791
389,2704
390,2424
391,2079
392,1828
393,1690
394,1607
395,1578
396,1648
397,1836
398,2160
399,2610
400,2856
401,2954
402,3037
403,3092
404,2908
405,2674
406,2602
407,2526
408,2461
409,2501
410,2750
411,2837
412,2794
413,2720
414,2421
415,2074
416,1825
417,1704
418,1613
419,1602
420,1669
421,1861
422,2198
423,2648
424,2877
425,2981
426,3062
427,3121
428,2936
429,2693
430,2617
431,2550
432,2493
433,2507
434,2719
435,2797
436,2746
437,2680
438,2469
439,2182
440,1950
441,1801
442,1690
443,1636
444,1692
445,1869
446,2209
447,2624
448,2839
449,2943
450,3064
451,3151
452,2982
453,2759
454,2689
455,2610
456,2554
457,2561
458,2759
459,2797
460,2738
461,2659
462,2412
463,2076
464,1816
465,1672
466,1589
467,1555
468,1625
469,1800
470,2123
471,2521
472,2731
473,2869
474,2999
475,3087
476,2931
477,2708
478,2640
479,2555
480,2490
481,2498
482,2660
483,2683
484,2615
485,2535
486,2380
487,2208
488,2052
489,1970
490,1852
491,1770
492,1789
493,1872
494,1997
495,2144
496,2278
497,2513
