Hour,WEC_SDGE_biomass_1.0,WEC_SDGE_hydroelectric_pumped_storage_1.0,WEC_SDGE_natural_gas_fired_combined_cycle_1.0,WEC_SDGE_natural_gas_fired_combined_cycle_2.0,WEC_SDGE_natural_gas_fired_combined_cycle_3.0,WEC_SDGE_natural_gas_fired_combined_cycle_4.0,WEC_SDGE_natural_gas_fired_combustion_turbine_1.0,WEC_SDGE_natural_gas_fired_combustion_turbine_2.0,WEC_SDGE_natural_gas_fired_combustion_turbine_3.0,WEC_SDGE_natural_gas_fired_combustion_turbine_4.0,WEC_SDGE_natural_gas_fired_combustion_turbine_5.0,WEC_SDGE_natural_gas_fired_combustion_turbine_6.0,WEC_SDGE_natural_gas_fired_combustion_turbine_7.0,WEC_SDGE_natural_gas_fired_combustion_turbine_8.0,WEC_SDGE_natural_gas_fired_combustion_turbine_9.0,WEC_SDGE_natural_gas_fired_combustion_turbine_10.0,WEC_SDGE_natural_gas_fired_combustion_turbine_11.0,WEC_SDGE_natural_gas_fired_combustion_turbine_12.0,WEC_SDGE_onshore_wind_turbine_1.0,WEC_SDGE_small_hydroelectric_1.0,WEC_SDGE_solar_photovoltaic_1.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1622,0.3016,0.2905
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2412,0.3013,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1262,0.301,0
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1549,0.3006,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.169,0.3003,0
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4212,0.3,0
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3381,0.2997,0
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2026,0.2994,0
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1694,0.299,0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1658,0.2987,0
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1502,0.2984,0
