region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,CapRes_2,THERM,VRE,MUST_RUN,STOR,FLEX,LDS,HYDRO,ESR_1,ESR_2,MinCapTag_1,MinCapTag_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,Commit,Hydro_level
CA_N,CA_N_batteries_1,Batteries,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10659.3,2653.8,0,52,0,0,51.04,0,0,-1,-1,-1,0,0,0,0,0,5955,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,0.92,0.92,0,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_biomass_1,Biomass,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,236.2,0,120,0,-1,1.97,0,0,-1,-1,-1,0,0,0,0,0,150850,0,0,0,6.87,0,0,0,0,0,15.99,4.915,3.95,None,0.314,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CA_N,CA_N_conventional_hydroelectric_1,Conventional Hydroelectric,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7519.1,0,131,0,-1,57.4,0,0,-1,-1,-1,0,0,0,0,0,53201,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0.058,0,1,1,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
CA_N,CA_N_geothermal_1,Geothermal,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,987.4,0,24,0,-1,41.14,0,0,-1,-1,-1,0,0,0,0,0,236444,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0.347,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35292,2276.9,0,24,0,0,94.87,0,0,-1,-1,-1,0,0,0,0,0,53201,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0.236,0,0.866,0.866,0,0,1,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11409.7,0,42,0,0,271.66,0,0,-1,-1,-1,0,0,0,0,0,13661,0,0,0,4.36,0,0,0,104,2,7.76,1.36,2.719,pacific_naturalgas,0.457,0,1,1,0,0,0,0,0,0,0,0.64,0.64,6,6,0,0,0.106666667,0.213333333,0,0,0,0,0,0,0,0,0,1,0
CA_N,CA_N_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4732.2,0,126,0,0,37.56,0,0,-1,-1,-1,0,0,0,0,0,13920,0,0,0,5.97,0,0,0,135,3.5,10.83,1.744,2.217,pacific_naturalgas,0.538,0,1,1,0,0,0,0,0,0,0,3.78,3.78,1,1,0,0,0.63,1.26,0,0,0,0,0,0,0,0,0,1,0
CA_N,CA_N_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,1,0,0,2.9,0,0,-1,-1,-1,0,0,0,0,0,58012,0,0,0,1.19,0,0,0,99,13.7,9.21,0,0,pacific_naturalgas,0,0,1,1,0,0,0,0,0,0,0,0.57,0.57,24,24,0,0,0.095,0.19,0,0,0,0,0,0,0,0,0,1,0
CA_N,CA_N_onshore_wind_turbine_1,Onshore Wind Turbine,1,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1473.5,0,36,0,0,40.93,0,0,-1,-1,-1,0,0,0,0,0,42595,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA_N,CA_N_other_peaker_1,Other_peaker,1,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,169,0,0,4.65,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,5.79,0,0,0,99,0,11.25,4.66,2.266,pacific_naturalgas,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
