,ev_load_shifting_z5,ev_load_shifting_z1,ev_load_shifting_z2,ev_load_shifting_z3,ev_load_shifting_z6,ev_load_shifting_z4
1,0.122,0.099,0.099,0.104,0.049,0.093
2,0.049,0.041,0.041,0.048,0.042,0.044
3,0.04,0.033,0.033,0.038,0.03,0.033
4,0.027,0.021,0.021,0.023,0.006,0.019
5,0.007,0.005,0.005,0.009,0.018,0.01
6,0.019,0.015,0.015,0.024,0.036,0.024
7,0.039,0.028,0.028,0.049,0.063,0.048
8,0.073,0.054,0.054,0.09,0.119,0.087
9,0.139,0.103,0.103,0.165,0.208,0.153
10,0.237,0.176,0.176,0.257,0.278,0.229
11,0.311,0.237,0.237,0.346,0.372,0.309
12,0.406,0.307,0.307,0.438,0.471,0.389
13,0.498,0.377,0.377,0.515,0.497,0.451
14,0.514,0.393,0.393,0.531,0.517,0.469
15,0.528,0.409,0.409,0.548,0.559,0.492
16,0.554,0.438,0.438,0.584,0.625,0.529
17,0.615,0.479,0.479,0.613,0.561,0.55
18,0.576,0.458,0.458,0.61,0.68,0.565
19,0.709,0.557,0.557,0.701,0.667,0.627
20,0.696,0.54,0.54,0.665,0.565,0.579
21,0.587,0.454,0.454,0.561,0.472,0.487
22,0.484,0.374,0.374,0.457,0.367,0.396
23,0.367,0.288,0.288,0.341,0.25,0.297
24,0.236,0.184,0.184,0.207,0.051,0.164
25,0.053,0.045,0.045,0.052,0.033,0.045
26,0.033,0.028,0.028,0.032,0.016,0.027
27,0.016,0.014,0.014,0.018,0.02,0.017
28,0.019,0.016,0.016,0.02,0.012,0.017
29,0.014,0.013,0.013,0.023,0.044,0.026
30,0.052,0.045,0.045,0.074,0.112,0.073
31,0.13,0.108,0.108,0.172,0.206,0.154
32,0.241,0.19,0.19,0.263,0.227,0.217
33,0.261,0.211,0.211,0.275,0.216,0.226
34,0.248,0.204,0.204,0.269,0.247,0.23
35,0.277,0.234,0.234,0.313,0.303,0.271
36,0.34,0.283,0.283,0.366,0.347,0.316
37,0.384,0.319,0.319,0.404,0.356,0.347
38,0.392,0.329,0.329,0.422,0.408,0.373
39,0.45,0.382,0.382,0.507,0.556,0.458
40,0.598,0.508,0.508,0.672,0.717,0.599
41,0.784,0.65,0.65,0.843,0.844,0.729
42,0.919,0.741,0.741,0.913,0.659,0.744
43,0.734,0.583,0.583,0.665,0.367,0.529
44,0.413,0.332,0.332,0.392,0.284,0.324
45,0.318,0.256,0.256,0.304,0.217,0.25
46,0.243,0.191,0.191,0.22,0.142,0.181
47,0.156,0.123,0.123,0.143,0.101,0.122
48,0.106,0.083,0.083,0.097,0.06,0.087
49,0.053,0.046,0.046,0.054,0.038,0.05
50,0.033,0.028,0.028,0.033,0.018,0.03
51,0.016,0.014,0.014,0.019,0.023,0.019
52,0.02,0.016,0.016,0.02,0.013,0.019
53,0.014,0.012,0.012,0.024,0.051,0.029
54,0.053,0.043,0.043,0.078,0.128,0.082
55,0.134,0.1,0.1,0.18,0.236,0.169
56,0.242,0.179,0.179,0.274,0.258,0.234
57,0.259,0.199,0.199,0.285,0.244,0.243
58,0.239,0.196,0.196,0.277,0.276,0.245
59,0.262,0.225,0.225,0.322,0.336,0.287
60,0.32,0.276,0.276,0.376,0.388,0.337
61,0.358,0.313,0.313,0.414,0.398,0.37
62,0.364,0.326,0.326,0.432,0.461,0.398
63,0.417,0.379,0.379,0.516,0.625,0.488
64,0.559,0.504,0.504,0.687,0.812,0.64
65,0.736,0.653,0.653,0.869,0.955,0.781
66,0.865,0.752,0.752,0.941,0.74,0.796
67,0.698,0.603,0.603,0.688,0.41,0.571
68,0.394,0.344,0.344,0.407,0.317,0.348
69,0.304,0.265,0.265,0.318,0.244,0.269
70,0.235,0.202,0.202,0.232,0.159,0.195
71,0.15,0.128,0.128,0.15,0.112,0.131
72,0.101,0.085,0.085,0.093,0.06,0.085
73,0.052,0.041,0.041,0.051,0.038,0.047
74,0.032,0.024,0.024,0.031,0.018,0.028
75,0.016,0.012,0.012,0.018,0.023,0.018
76,0.019,0.013,0.013,0.019,0.013,0.018
77,0.014,0.01,0.01,0.023,0.05,0.028
78,0.051,0.036,0.036,0.073,0.125,0.078
79,0.129,0.086,0.086,0.167,0.228,0.158
80,0.237,0.159,0.159,0.254,0.253,0.22
81,0.252,0.179,0.179,0.26,0.238,0.227
82,0.233,0.176,0.176,0.251,0.27,0.231
83,0.254,0.202,0.202,0.293,0.331,0.274
84,0.308,0.254,0.254,0.34,0.379,0.319
85,0.346,0.288,0.288,0.374,0.386,0.349
86,0.352,0.299,0.299,0.389,0.443,0.377
87,0.405,0.349,0.349,0.463,0.598,0.466
88,0.542,0.464,0.464,0.614,0.783,0.613
89,0.712,0.6,0.6,0.767,0.916,0.745
90,0.837,0.686,0.686,0.844,0.716,0.767
91,0.67,0.554,0.554,0.621,0.393,0.554
92,0.377,0.317,0.317,0.367,0.304,0.339
93,0.291,0.244,0.244,0.286,0.234,0.265
94,0.224,0.186,0.186,0.207,0.15,0.191
95,0.143,0.119,0.119,0.134,0.104,0.125
96,0.096,0.079,0.079,0.086,0.052,0.08
97,0.052,0.04,0.04,0.047,0.033,0.044
98,0.032,0.024,0.024,0.029,0.016,0.025
99,0.016,0.012,0.012,0.017,0.02,0.016
100,0.019,0.013,0.013,0.018,0.012,0.017
101,0.014,0.01,0.01,0.021,0.045,0.027
102,0.052,0.036,0.036,0.069,0.113,0.074
103,0.131,0.085,0.085,0.16,0.207,0.152
104,0.24,0.159,0.159,0.244,0.228,0.211
105,0.256,0.182,0.182,0.253,0.215,0.22
106,0.238,0.183,0.183,0.243,0.238,0.221
107,0.258,0.211,0.211,0.283,0.293,0.264
108,0.311,0.262,0.262,0.331,0.335,0.31
109,0.346,0.296,0.296,0.363,0.343,0.341
110,0.349,0.306,0.306,0.381,0.395,0.369
111,0.399,0.356,0.356,0.454,0.54,0.454
112,0.529,0.473,0.473,0.601,0.707,0.598
113,0.688,0.607,0.607,0.748,0.818,0.723
114,0.805,0.69,0.69,0.815,0.645,0.747
115,0.64,0.544,0.544,0.599,0.359,0.536
116,0.364,0.311,0.311,0.355,0.277,0.329
117,0.282,0.24,0.24,0.276,0.214,0.254
118,0.215,0.181,0.181,0.199,0.137,0.182
119,0.138,0.117,0.117,0.128,0.095,0.119
120,0.094,0.079,0.079,0.083,0.049,0.078
121,0.05,0.043,0.043,0.046,0.031,0.042
122,0.031,0.026,0.026,0.028,0.015,0.025
123,0.015,0.013,0.013,0.016,0.019,0.016
124,0.018,0.015,0.015,0.017,0.011,0.016
125,0.013,0.011,0.011,0.02,0.043,0.025
126,0.049,0.039,0.039,0.066,0.106,0.07
127,0.124,0.093,0.093,0.154,0.196,0.147
128,0.228,0.171,0.171,0.236,0.221,0.208
129,0.245,0.194,0.194,0.247,0.212,0.221
130,0.229,0.192,0.192,0.239,0.238,0.224
131,0.254,0.221,0.221,0.279,0.295,0.271
132,0.307,0.27,0.27,0.326,0.34,0.318
133,0.344,0.305,0.305,0.359,0.346,0.352
134,0.35,0.315,0.315,0.375,0.398,0.38
135,0.4,0.366,0.366,0.446,0.534,0.467
136,0.533,0.486,0.486,0.587,0.694,0.613
137,0.7,0.622,0.622,0.732,0.807,0.74
138,0.821,0.701,0.701,0.786,0.628,0.75
139,0.645,0.544,0.544,0.578,0.35,0.536
140,0.361,0.31,0.31,0.341,0.272,0.329
141,0.276,0.239,0.239,0.266,0.211,0.257
142,0.212,0.181,0.181,0.194,0.137,0.185
143,0.137,0.118,0.118,0.128,0.097,0.126
144,0.099,0.087,0.087,0.104,0.125,0.104
145,0.123,0.106,0.106,0.106,0.05,0.093
146,0.05,0.044,0.044,0.049,0.042,0.044
147,0.041,0.036,0.036,0.039,0.03,0.034
148,0.028,0.023,0.023,0.023,0.006,0.019
149,0.007,0.006,0.006,0.009,0.018,0.01
150,0.019,0.016,0.016,0.024,0.037,0.023
151,0.038,0.03,0.03,0.049,0.065,0.047
152,0.073,0.057,0.057,0.089,0.124,0.088
153,0.139,0.11,0.11,0.163,0.216,0.157
154,0.239,0.189,0.189,0.254,0.287,0.234
155,0.314,0.255,0.255,0.338,0.377,0.318
156,0.412,0.33,0.33,0.426,0.473,0.402
157,0.504,0.402,0.402,0.501,0.494,0.465
158,0.524,0.417,0.417,0.519,0.515,0.486
159,0.54,0.431,0.431,0.535,0.54,0.508
160,0.567,0.458,0.458,0.568,0.603,0.547
161,0.626,0.5,0.5,0.597,0.546,0.563
162,0.58,0.473,0.473,0.594,0.656,0.578
163,0.704,0.577,0.577,0.674,0.645,0.638
164,0.677,0.558,0.558,0.634,0.551,0.585
165,0.569,0.47,0.47,0.534,0.462,0.492
166,0.468,0.39,0.39,0.439,0.368,0.403
167,0.364,0.3,0.3,0.331,0.252,0.305
168,0.24,0.198,0.198,0.213,0.128,0.193
169,0.109,0.092,0.092,0.095,0.049,0.09
170,0.045,0.037,0.037,0.043,0.041,0.043
171,0.036,0.029,0.029,0.035,0.028,0.032
172,0.025,0.018,0.018,0.021,0.006,0.018
173,0.006,0.005,0.005,0.008,0.017,0.01
174,0.017,0.013,0.013,0.021,0.035,0.022
175,0.036,0.024,0.024,0.044,0.06,0.045
176,0.066,0.047,0.047,0.08,0.11,0.082
177,0.125,0.093,0.093,0.144,0.194,0.147
178,0.215,0.165,0.165,0.228,0.261,0.225
179,0.284,0.226,0.226,0.306,0.341,0.306
180,0.364,0.303,0.303,0.384,0.431,0.385
181,0.446,0.371,0.371,0.454,0.456,0.448
182,0.455,0.384,0.384,0.469,0.487,0.469
183,0.473,0.401,0.401,0.491,0.523,0.498
184,0.5,0.426,0.426,0.525,0.584,0.538
185,0.558,0.468,0.468,0.554,0.537,0.559
