Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
2000.0,1.0,1.0,1.0,2000.0,16.0,168.0,336.0,1,15754.0,24535.0,18088.0,26531.0,29779.0,16607.0
,2.0,0.9,0.04,1800.0,,,504.0,2,15878.0,24735.0,17260.0,25679.0,27594.0,16791.0
,3.0,0.55,0.024,1100.0,,,1008.0,3,15586.0,24275.0,17270.0,25519.0,27272.0,16903.0
,4.0,0.2,0.003,400.0,,,1512.0,4,15258.0,23766.0,17163.0,25493.0,27151.0,16709.0
,,,,,,,336.0,5,14924.0,23244.0,17409.0,26050.0,27322.0,17181.0
,,,,,,,336.0,6,15371.0,23941.0,18217.0,26838.0,28847.0,17394.0
,,,,,,,504.0,7,15836.0,24677.0,19105.0,27679.0,31656.0,17267.0
,,,,,,,336.0,8,16343.0,25457.0,19875.0,28392.0,34130.0,18200.0
,,,,,,,1176.0,9,17355.0,27031.0,20885.0,29627.0,37466.0,19667.0
,,,,,,,336.0,10,18764.0,29232.0,22086.0,31026.0,40757.0,20805.0
,,,,,,,336.0,11,20020.0,31196.0,23211.0,32944.0,42766.0,22524.0
,,,,,,,504.0,12,21427.0,33393.0,24579.0,34635.0,44199.0,24529.0
,,,,,,,504.0,13,22832.0,35591.0,25635.0,36149.0,46461.0,24974.0
,,,,,,,504.0,14,23232.0,36214.0,25625.0,35925.0,45807.0,25010.0
,,,,,,,336.0,15,21461.0,33434.0,25202.0,35104.0,45123.0,25386.0
,,,,,,,168.0,16,20081.0,31268.0,25499.0,36636.0,44927.0,26752.0
,,,,,,,,17,21330.0,33226.0,26167.0,37494.0,46973.0,25637.0
,,,,,,,,18,21112.0,32890.0,26455.0,39125.0,46789.0,28556.0
,,,,,,,,19,23794.0,37071.0,28807.0,41817.0,52878.0,28205.0
,,,,,,,,20,23749.0,37004.0,28291.0,40306.0,53035.0,25951.0
,,,,,,,,21,21639.0,33705.0,26022.0,36425.0,48931.0,23579.0
,,,,,,,,22,19525.0,30407.0,23628.0,33442.0,43485.0,20961.0
,,,,,,,,23,16015.0,24918.0,21030.0,29507.0,37633.0,18441.0
,,,,,,,,24,14980.0,23317.0,18492.0,25764.0,32462.0,14312.0
,,,,,,,,25,13949.0,21755.0,15663.0,23268.0,26427.0,14621.0
,,,,,,,,26,14834.0,23145.0,15531.0,23112.0,25998.0,14512.0
,,,,,,,,27,14390.0,22454.0,15403.0,23077.0,25495.0,15123.0
,,,,,,,,28,14489.0,22607.0,15804.0,23803.0,26322.0,15393.0
,,,,,,,,29,14779.0,23057.0,16705.0,25655.0,27792.0,16793.0
,,,,,,,,30,16360.0,25524.0,19229.0,28807.0,32422.0,19143.0
,,,,,,,,31,18555.0,28963.0,21829.0,31012.0,40767.0,20820.0
,,,,,,,,32,20655.0,32243.0,23103.0,31802.0,45722.0,20694.0
,,,,,,,,33,21270.0,33194.0,22687.0,31562.0,45075.0,19992.0
,,,,,,,,34,21306.0,33239.0,22314.0,31408.0,42916.0,20448.0
,,,,,,,,35,22165.0,34576.0,22863.0,32417.0,43671.0,21227.0
,,,,,,,,36,23194.0,36183.0,23488.0,33482.0,44670.0,22081.0
,,,,,,,,37,23992.0,37430.0,24023.0,34255.0,45615.0,22193.0
,,,,,,,,38,24313.0,37930.0,24097.0,34391.0,45293.0,22912.0
,,,,,,,,39,23819.0,37150.0,25140.0,35507.0,46518.0,25353.0
,,,,,,,,40,24727.0,38571.0,27681.0,38462.0,51162.0,28315.0
,,,,,,,,41,26395.0,41187.0,30753.0,41612.0,57535.0,31114.0
,,,,,,,,42,28746.0,44876.0,32533.0,43150.0,63269.0,27795.0
,,,,,,,,43,26242.0,40954.0,28737.0,38421.0,58854.0,22008.0
,,,,,,,,44,21636.0,33756.0,23943.0,32911.0,48719.0,20033.0
,,,,,,,,45,19815.0,30918.0,21670.0,29701.0,45114.0,17543.0
,,,,,,,,46,16884.0,26338.0,19284.0,26390.0,39777.0,15614.0
,,,,,,,,47,14026.0,21871.0,17440.0,24208.0,34450.0,14497.0
,,,,,,,,48,13192.0,20568.0,16737.0,23874.0,31722.0,14479.0
,,,,,,,,49,14935.0,23302.0,16303.0,23836.0,30431.0,14696.0
,,,,,,,,50,15296.0,23872.0,16038.0,23348.0,30086.0,14425.0
,,,,,,,,51,14780.0,23070.0,15950.0,23104.0,29697.0,14932.0
,,,,,,,,52,14823.0,23136.0,16281.0,23637.0,30774.0,15017.0
,,,,,,,,53,15137.0,23624.0,17224.0,25279.0,32410.0,16498.0
,,,,,,,,54,16510.0,25772.0,19835.0,28356.0,37445.0,18888.0
,,,,,,,,55,18817.0,29387.0,22770.0,30764.0,46023.0,20868.0
,,,,,,,,56,20964.0,32738.0,24140.0,31803.0,50661.0,20784.0
,,,,,,,,57,21416.0,33438.0,23797.0,31787.0,49187.0,20127.0
,,,,,,,,58,21450.0,33477.0,23348.0,31691.0,45720.0,20729.0
