# Renewables.ninja Wind (Point API) - 32.312, -100.530 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Chicago, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/Chicago", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "32.3122", "lon": "-100.53", "date_from": "2016-01-01", "date_to": "2016-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2016-01-01 00:00,2015-12-31 18:00,0.242
2016-01-01 01:00,2015-12-31 19:00,0.311
2016-01-01 02:00,2015-12-31 20:00,0.349
2016-01-01 03:00,2015-12-31 21:00,0.339
2016-01-01 04:00,2015-12-31 22:00,0.325
2016-01-01 05:00,2015-12-31 23:00,0.261
2016-01-01 06:00,2016-01-01 00:00,0.256
2016-01-01 07:00,2016-01-01 01:00,0.274
2016-01-01 08:00,2016-01-01 02:00,0.278
2016-01-01 09:00,2016-01-01 03:00,0.267
2016-01-01 10:00,2016-01-01 04:00,0.252
2016-01-01 11:00,2016-01-01 05:00,0.228
2016-01-01 12:00,2016-01-01 06:00,0.200
2016-01-01 13:00,2016-01-01 07:00,0.201
2016-01-01 14:00,2016-01-01 08:00,0.236
2016-01-01 15:00,2016-01-01 09:00,0.291
2016-01-01 16:00,2016-01-01 10:00,0.251
2016-01-01 17:00,2016-01-01 11:00,0.211
2016-01-01 18:00,2016-01-01 12:00,0.167
2016-01-01 19:00,2016-01-01 13:00,0.118
2016-01-01 20:00,2016-01-01 14:00,0.084
2016-01-01 21:00,2016-01-01 15:00,0.061
2016-01-01 22:00,2016-01-01 16:00,0.051
2016-01-01 23:00,2016-01-01 17:00,0.056
2016-01-02 00:00,2016-01-01 18:00,0.054
2016-01-02 01:00,2016-01-01 19:00,0.023
2016-01-02 02:00,2016-01-01 20:00,0.005
2016-01-02 03:00,2016-01-01 21:00,0.003
2016-01-02 04:00,2016-01-01 22:00,0
2016-01-02 05:00,2016-01-01 23:00,0
2016-01-02 06:00,2016-01-02 00:00,0.001
2016-01-02 07:00,2016-01-02 01:00,0.008
2016-01-02 08:00,2016-01-02 02:00,0.022
2016-01-02 09:00,2016-01-02 03:00,0.039
2016-01-02 10:00,2016-01-02 04:00,0.046
2016-01-02 11:00,2016-01-02 05:00,0.056
2016-01-02 12:00,2016-01-02 06:00,0.067
2016-01-02 13:00,2016-01-02 07:00,0.092
2016-01-02 14:00,2016-01-02 08:00,0.064
2016-01-02 15:00,2016-01-02 09:00,0.020
2016-01-02 16:00,2016-01-02 10:00,0.010
2016-01-02 17:00,2016-01-02 11:00,0.007
2016-01-02 18:00,2016-01-02 12:00,0.009
2016-01-02 19:00,2016-01-02 13:00,0.014
2016-01-02 20:00,2016-01-02 14:00,0.015
2016-01-02 21:00,2016-01-02 15:00,0.019
2016-01-02 22:00,2016-01-02 16:00,0.024
2016-01-02 23:00,2016-01-02 17:00,0.047
2016-01-03 00:00,2016-01-02 18:00,0.119
2016-01-03 01:00,2016-01-02 19:00,0.238
2016-01-03 02:00,2016-01-02 20:00,0.377
2016-01-03 03:00,2016-01-02 21:00,0.484
2016-01-03 04:00,2016-01-02 22:00,0.542
2016-01-03 05:00,2016-01-02 23:00,0.563
2016-01-03 06:00,2016-01-03 00:00,0.568
2016-01-03 07:00,2016-01-03 01:00,0.555
2016-01-03 08:00,2016-01-03 02:00,0.532
2016-01-03 09:00,2016-01-03 03:00,0.498
2016-01-03 10:00,2016-01-03 04:00,0.452
2016-01-03 11:00,2016-01-03 05:00,0.425
2016-01-03 12:00,2016-01-03 06:00,0.413
2016-01-03 13:00,2016-01-03 07:00,0.400
2016-01-03 14:00,2016-01-03 08:00,0.264
2016-01-03 15:00,2016-01-03 09:00,0.095
2016-01-03 16:00,2016-01-03 10:00,0.041
2016-01-03 17:00,2016-01-03 11:00,0.027
2016-01-03 18:00,2016-01-03 12:00,0.025
2016-01-03 19:00,2016-01-03 13:00,0.035
2016-01-03 20:00,2016-01-03 14:00,0.042
2016-01-03 21:00,2016-01-03 15:00,0.054
2016-01-03 22:00,2016-01-03 16:00,0.094
2016-01-03 23:00,2016-01-03 17:00,0.199
2016-01-04 00:00,2016-01-03 18:00,0.320
2016-01-04 01:00,2016-01-03 19:00,0.410
2016-01-04 02:00,2016-01-03 20:00,0.437
2016-01-04 03:00,2016-01-03 21:00,0.386
2016-01-04 04:00,2016-01-03 22:00,0.274
2016-01-04 05:00,2016-01-03 23:00,0.161
2016-01-04 06:00,2016-01-04 00:00,0.087
2016-01-04 07:00,2016-01-04 01:00,0.057
2016-01-04 08:00,2016-01-04 02:00,0.046
2016-01-04 09:00,2016-01-04 03:00,0.039
2016-01-04 10:00,2016-01-04 04:00,0.035
2016-01-04 11:00,2016-01-04 05:00,0.043
2016-01-04 12:00,2016-01-04 06:00,0.060
2016-01-04 13:00,2016-01-04 07:00,0.071
2016-01-04 14:00,2016-01-04 08:00,0.050
2016-01-04 15:00,2016-01-04 09:00,0.006
2016-01-04 16:00,2016-01-04 10:00,0
2016-01-04 17:00,2016-01-04 11:00,0
2016-01-04 18:00,2016-01-04 12:00,0.001
2016-01-04 19:00,2016-01-04 13:00,0.003
2016-01-04 20:00,2016-01-04 14:00,0.014
2016-01-04 21:00,2016-01-04 15:00,0.049
2016-01-04 22:00,2016-01-04 16:00,0.109
2016-01-04 23:00,2016-01-04 17:00,0.214
2016-01-05 00:00,2016-01-04 18:00,0.302
2016-01-05 01:00,2016-01-04 19:00,0.361
2016-01-05 02:00,2016-01-04 20:00,0.431
2016-01-05 03:00,2016-01-04 21:00,0.460
2016-01-05 04:00,2016-01-04 22:00,0.432
2016-01-05 05:00,2016-01-04 23:00,0.407
2016-01-05 06:00,2016-01-05 00:00,0.398
2016-01-05 07:00,2016-01-05 01:00,0.398
2016-01-05 08:00,2016-01-05 02:00,0.410
2016-01-05 09:00,2016-01-05 03:00,0.408
2016-01-05 10:00,2016-01-05 04:00,0.415
2016-01-05 11:00,2016-01-05 05:00,0.443
