Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
9000.0,1.0,1.0,1.0,9000.0,8.0,168.0,1176.0,1,0.0,44516.0,3328.0
,2.0,0.067,0.075,603.0,,,840.0,2,0.0,44517.0,3293.0
,,,,,,,2352.0,3,0.0,45910.0,3318.0
,,,,,,,1176.0,4,0.0,48127.0,3399.0
,,,,,,,1008.0,5,0.0,49263.0,3455.0
,,,,,,,672.0,6,0.0,52348.0,3637.0
,,,,,,,1344.0,7,0.0,56856.0,3897.0
,,,,,,,168.0,8,0.0,62262.0,4202.0
,,,,,,,,9,0.0,67237.0,4474.0
,,,,,,,,10,0.0,71645.0,4671.0
,,,,,,,,11,0.0,75667.0,4870.0
,,,,,,,,12,0.0,78418.0,5034.0
,,,,,,,,13,0.0,80438.0,5165.0
,,,,,,,,14,0.0,80675.0,5221.0
,,,,,,,,15,0.0,79372.0,5156.0
,,,,,,,,16,0.0,77219.0,5088.0
,,,,,,,,17,0.0,74372.0,4971.0
,,,,,,,,18,0.0,72322.0,4809.0
,,,,,,,,19,0.0,69452.0,4665.0
,,,,,,,,20,0.0,64113.0,4380.0
,,,,,,,,21,0.0,58708.0,4088.0
,,,,,,,,22,0.0,53976.0,3849.0
,,,,,,,,23,0.0,50633.0,3676.0
,,,,,,,,24,0.0,48176.0,3557.0
,,,,,,,,25,0.0,46534.0,3485.0
,,,,,,,,26,0.0,46079.0,3437.0
,,,,,,,,27,0.0,47186.0,3452.0
,,,,,,,,28,0.0,49227.0,3536.0
,,,,,,,,29,0.0,50264.0,3588.0
,,,,,,,,30,0.0,53543.0,3725.0
,,,,,,,,31,0.0,58448.0,3954.0
,,,,,,,,32,0.0,64541.0,4219.0
,,,,,,,,33,0.0,70238.0,4487.0
,,,,,,,,34,0.0,74899.0,4688.0
,,,,,,,,35,0.0,78674.0,4918.0
,,,,,,,,36,0.0,80817.0,5071.0
,,,,,,,,37,0.0,81125.0,5174.0
,,,,,,,,38,0.0,80640.0,5218.0
,,,,,,,,39,0.0,78978.0,5175.0
,,,,,,,,40,0.0,76992.0,5080.0
,,,,,,,,41,0.0,73820.0,4955.0
,,,,,,,,42,0.0,71616.0,4796.0
,,,,,,,,43,0.0,68932.0,4670.0
,,,,,,,,44,0.0,63584.0,4391.0
,,,,,,,,45,0.0,58181.0,4101.0
,,,,,,,,46,0.0,53555.0,3869.0
,,,,,,,,47,0.0,50333.0,3699.0
,,,,,,,,48,0.0,47993.0,3574.0
,,,,,,,,49,0.0,46354.0,3497.0
,,,,,,,,50,0.0,45860.0,3454.0
,,,,,,,,51,0.0,47217.0,3489.0
,,,,,,,,52,0.0,49329.0,3579.0
,,,,,,,,53,0.0,50308.0,3645.0
,,,,,,,,54,0.0,53167.0,3757.0
,,,,,,,,55,0.0,57542.0,3920.0
,,,,,,,,56,0.0,61915.0,4130.0
,,,,,,,,57,0.0,65376.0,4351.0
,,,,,,,,58,0.0,68620.0,4535.0
,,,,,,,,59,0.0,71844.0,4704.0
