R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
1,AZ,8,Biomass,1,5,1.954,9.77,0,116511,6.809,None,15.832,1.579,2.035,0.262,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
2,AZ,8,Conventional Hydroelectric,1,28,98.661,2762.508,11050,46475,0,None,9.118,0,0,0.004,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
3,AZ,8,Conventional Steam Coal,1,10,332.9,3329,0,57649.513,1.857,mountain_reference_coal,10.647,0.755,0.495,0.428,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
4,AZ,8,Hydroelectric Pumped Storage,1,6,36.05,216.3,34333,40113,0,None,0,0,0,0.601,1,1,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
5,AZ,8,Natural Gas Fired Combined Cycle,1,15,518.4,7776,0,10293.267,3.554,mountain_reference_naturalgas,7.578,0.488,0.464,0.368,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
6,AZ,8,Natural Gas Fired Combined Cycle,2,7,205.4,1437.8,0,13146.52,3.745,mountain_reference_naturalgas,9.292,1.93,1.54,0.619,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
7,AZ,8,Natural Gas Fired Combustion Turbine,1,12,39.617,475.404,0,10243.268,11.728,mountain_reference_naturalgas,12.993,0.974,1.868,0.387,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
8,AZ,8,Natural Gas Fired Combustion Turbine,2,22,46.018,1012.396,0,7300,11.728,mountain_reference_naturalgas,10.532,0.527,0.268,0.458,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
9,AZ,8,Nuclear,1,3,1334.333,4002.999,0,105225,2.413,mountain_reference_uranium,10.458,0,0,0.082,0.25,0.25,1,0,244.8153402,24,24,1,1,1,0,0,0,0,0,1
10,AZ,8,Onshore Wind Turbine,1,4,51.075,257.3,0,45062,0,None,9.118,0,0,0.024,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
11,AZ,8,Small Hydroelectric,1,9,2.125,19.125,0,46475,0,None,9.128,0.026,0.013,0.268,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
12,AZ,8,Solar Photovoltaic,1,105,17.499,2017.8,0,18715,0,None,9.126,0,0.013,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
13,CO,12,Biomass,1,10,1.408,14.08,0,116511,4.975,None,11.737,2.958,2.533,0.255,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
14,CO,12,Conventional Hydroelectric,1,11,42.764,470.404,1882,46475,0,None,9.118,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
15,CO,12,Conventional Steam Coal,1,14,318.071,4452.994,0,59949.908,1.857,mountain_reference_coal,10.705,1.155,1.024,0.447,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
16,CO,12,Hydroelectric Pumped Storage,1,5,112.5,562.5,89286,40113,0,None,0,0,0,0.267,1,1,0,0,0,0,0,0.866,0.866,0,0,0,1,0,0,0
17,CO,12,Natural Gas Fired Combined Cycle,1,3,643.667,1931.001,0,9668,3.567,mountain_reference_naturalgas,7.535,0.414,0.439,0.326,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
18,CO,12,Natural Gas Fired Combined Cycle,2,10,146.74,1467.4,0,16291,4.495,mountain_reference_naturalgas,8.87,3.505,2.703,0.46,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
19,CO,12,Natural Gas Fired Combustion Turbine,1,26,92.308,2400.008,0,8072.287,11.728,mountain_reference_naturalgas,11.55,0.902,0.633,0.476,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
20,CO,12,Natural Gas Fired Combustion Turbine,2,11,34.345,377.795,0,10844.244,11.728,mountain_reference_naturalgas,16.041,3.209,3.627,0.392,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
21,CO,12,Natural Gas Steam Turbine,1,1,20,20,0,50678,1.043,mountain_reference_naturalgas,27.041,0,,0.15,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
22,CO,12,Natural Gas Steam Turbine,2,1,310,310,0,50678,1.043,mountain_reference_naturalgas,11.131,0,,0.71,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
23,CO,12,Onshore Wind Turbine,1,37,88.159,2662,0,45062,0,None,9.123,0,0.022,0.077,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
24,CO,12,Small Hydroelectric,1,51,1.227,62.577,0,46475,0,None,9.118,0,0,0.136,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
25,CO,12,Solar Photovoltaic,1,50,11.95,533.8,0,18715,0,None,9.146,0,0.025,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
26,ID,5,Biomass,1,15,0.749,11.235,0,116511,3.535,None,8.221,4.077,2.986,0.472,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
27,ID,5,Conventional Hydroelectric,1,36,39.197,1411.092,5644,46475,0,None,9.118,0,0.015,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
28,ID,5,Geothermal,1,1,8.154,8.154,0,206553,0,None,9.118,0,,0.041,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
29,ID,5,Natural Gas Fired Combined Cycle,1,1,319.9,319.9,0,16291,4.495,mountain_reference_naturalgas,6.993,0,,0.449,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
30,ID,5,Natural Gas Fired Combustion Turbine,1,5,100.22,501.1,0,9067.434,11.728,mountain_reference_naturalgas,10.705,0,2.818,0.612,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
31,ID,5,Onshore Wind Turbine,1,32,30.325,1696.3,0,45062,0,None,9.118,0,0,0.029,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
32,ID,5,Small Hydroelectric,1,100,1.92,192,0,46475,0,None,9.118,0,0,0.195,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
33,ID,5,Solar Photovoltaic,1,9,25.333,251.5,0,18715,0,None,9.118,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
34,MT,6,Biomass,1,1,1.602,1.602,0,116511,5.044,None,11.728,0,,0.033,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
35,MT,6,Conventional Hydroelectric,1,46,54.296,2497.616,9990,46475,0,None,9.118,0,0,0.288,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
36,MT,6,Conventional Steam Coal,1,4,406.875,1627.5,0,60337.826,1.857,mountain_reference_coal,11.107,2.595,1.567,0.303,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
37,MT,6,Natural Gas Fired Combustion Turbine,1,3,48.1,144.3,0,9042,11.728,mountain_reference_naturalgas,12.516,0,0,0.104,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
38,MT,6,Onshore Wind Turbine,1,15,55.567,811.5,0,45062,0,None,9.136,0,0.032,0.008,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
39,MT,6,Small Hydroelectric,1,23,2.3,52.9,0,46475,0,None,9.118,0,0,0.255,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
40,NM,9,Biomass,1,4,1.488,5.952,0,116511,6.048,None,14.063,2.974,1.717,0.296,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
41,NM,9,Conventional Steam Coal,1,5,528,2640,0,59385.147,1.857,mountain_reference_coal,9.99,1.473,1.028,0.423,1,1,1,16.5,122.3963045,0,0,1,1,1,0,0,0,0,0,0
42,NM,9,Geothermal,1,5,0.666,3.33,0,206553,0,None,9.118,0,0,0.377,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
43,NM,9,Natural Gas Fired Combined Cycle,1,3,325.333,975.999,0,9668,3.567,mountain_reference_naturalgas,8.336,0.456,0.519,0.382,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
44,NM,9,Natural Gas Fired Combined Cycle,2,3,106.467,319.401,0,16291,4.495,mountain_reference_naturalgas,7.481,0.23,0.265,0.445,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
45,NM,9,Natural Gas Fired Combined Cycle,3,1,144,144,0,9668,3.567,mountain_reference_naturalgas,15.109,0,,0.403,3.78,3.78,1,2,90.95901427,1,1,1,1,1,0,0,0,0,0,0
46,NM,9,Natural Gas Fired Combustion Turbine,1,6,50.533,303.198,0,11493,11.728,mountain_reference_naturalgas,12.291,1.156,2.284,0.201,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
47,NM,9,Natural Gas Fired Combustion Turbine,2,10,84.54,845.4,0,8290.307,11.728,mountain_reference_naturalgas,10.316,1.09,0.936,0.396,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
48,NM,9,Natural Gas Steam Turbine,1,2,47,94,0,50678,1.043,mountain_reference_naturalgas,13.628,0.39,0.552,0.383,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
49,NM,9,Natural Gas Steam Turbine,2,3,84,252,0,50678,1.043,mountain_reference_naturalgas,12.157,0,0,0.246,3.78,3.78,1,13.7,86.41276839,1,1,1,1,1,0,0,0,0,0,0
50,NM,9,Onshore Wind Turbine,1,10,151.51,967.8,0,45062,0,None,9.139,0,0.039,0.217,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
51,NM,9,Small Hydroelectric,1,9,2.849,25.641,0,46475,0,None,9.118,0,0,0.187,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1
52,NM,9,Solar Photovoltaic,1,41,7.68,987.4,0,18715,0,None,9.118,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
53,NV,7,Biomass,1,4,1.631,6.524,0,116511,7.08,None,16.463,8.041,4.642,0.769,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1
54,NV,7,Conventional Hydroelectric,1,9,115.489,1039.401,4158,46475,0,None,9.118,0,0,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,1,0,1
55,NV,7,Conventional Steam Coal,1,3,247.067,741.201,0,62713.627,1.857,mountain_reference_coal,11.549,0.926,0.926,0.351,0.57,0.57,1,16.5,122.3963045,24,24,1,1,1,0,0,0,0,0,0
56,NV,7,Geothermal,1,50,6.74,337,0,206553,0,None,9.118,0,0,0.384,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1
57,NV,7,Natural Gas Fired Combined Cycle,1,7,152.3,1066.1,0,16291,4.495,mountain_reference_naturalgas,8.367,0.737,0.64,0.587,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
58,NV,7,Natural Gas Fired Combined Cycle,2,7,582.943,4080.601,0,10408.535,3.552,mountain_reference_naturalgas,7.421,0.424,0.322,0.415,0.64,0.64,1,2,90.95901427,6,6,1,1,1,0,0,0,0,0,0
