Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z8,Load_MW_z12,Load_MW_z5,Load_MW_z6,Load_MW_z9,Load_MW_z7,Load_MW_z1,Load_MW_z4,Load_MW_z3,Load_MW_z2,Load_MW_z11,Load_MW_z10
9000,1,9000,1,1,9938.106394,9498.946273,2678.993286,1735.042372,2815.467624,4278.353392,13224.6893,23516.36788,2616.614894,14556.6158,3529.669358,2303.754435
,2,600,0.067,2,10591.83971,9296.965397,2777.070521,1759.193072,2886.161916,4744.122822,15092.26539,24663.07516,2985.504449,16506.64787,3618.858028,2299.714178
,,,,3,10307.76739,9067.166148,2716.870694,1715.902191,2820.864135,4764.475611,15303.31429,24275.0606,3027.254114,16741.21242,3567.546766,2245.574737
,,,,4,9958.613135,8921.687961,2654.448726,1662.590274,2740.132333,4669.66929,14835.03378,23465.76164,2919.854613,16252.82201,3487.044649,2201.535937
,,,,5,9646.047229,8636.46845,2582.027123,1621.3036,2654.867463,4559.257481,14323.79731,22654.35826,2825.060687,15707.75693,3391.997607,2139.315983
,,,,6,9325.386556,8197.977277,2493.949524,1559.874643,2541.432805,4479.870929,13751.65613,21642.93498,2708.887705,15094.82344,3286.344892,2049.117249
,,,,7,9051.567597,7685.12337,2404.760855,1495.339163,2451.634865,4388.171772,13102.37573,20517.07146,2573.655093,14406.65987,3154.531513,2031.0371
,,,,8,8705.867114,5535.964586,2431.527557,1421.884961,2321.902745,4267.018258,12449.3644,19523.185,2446.086672,13748.85053,2838.482424,1850.639633
,,,,9,8594.051409,5311.793957,2228.605658,1360.456003,2268.369358,4050.574553,12663.43838,18845.86309,2310.85406,12204.71798,2794.847651,1782.4603
,,,,10,8473.061637,5226.282225,2186.182962,1343.32003,2225.628992,3977.149007,12085.65041,18300.51825,2211.017904,11672.25848,2728.991464,1780.440171
,,,,11,8442.193595,5178.547195,2168.405832,1334.301096,2189.364439,3910.751144,11669.70357,17911.30117,2131.451513,11281.08227,2698.891551,1772.460664
,,,,12,8503.821749,5187.423096,2167.294761,1334.301096,2193.897508,3873.68872,11397.34663,17749.66184,2082.138502,11011.72634,2681.41744,1790.439807
,,,,13,8693.239278,5246.307124,2207.39431,1357.449692,2236.529944,3887.358793,11328.98009,17912.40348,2069.532927,10925.70589,2708.588168,1776.399914
,,,,14,9032.140158,5431.618624,2287.694414,1393.725847,2288.336448,3927.56871,11476.09923,18463.2599,2101.097287,11017.0711,2785.151034,1826.600105
,,,,15,9201.050946,5480.436081,2372.438801,1453.050387,2310.030421,3902.348071,11770.94251,19296.60935,2147.889183,11245.58497,2867.572273,1888.719054
,,,,16,9281.998609,5577.096811,2460.415393,1502.4541,2350.935973,3797.514029,11870.87059,20147.59582,2156.763508,11288.04055,2954.84182,1932.858859
,,,,17,9137.156258,5647.021595,2477.182459,1561.87885,2383.530899,3785.542335,12212.70326,20831.53161,2223.724324,11603.28078,3013.930576,1954.878259
,,,,18,9019.620253,5675.814153,2437.08291,1581.019031,2396.266664,3809.842116,12536.18385,21303.12161,2280.499835,11902.38587,3056.656292,1986.998301
,,,,19,8905.538014,5684.690054,2396.882354,1577.91251,2387.200526,3827.477102,12789.58371,21283.38017,2329.812845,12199.27238,3019.788949,1992.95768
,,,,20,8793.72231,5689.128005,2334.460387,1556.768121,2358.167298,3813.117087,12847.16083,21017.32163,2352.502881,12292.85617,3003.324902,1972.958408
,,,,21,8619.09122,5631.434646,2274.26056,1530.613214,2330.968883,3786.003791,12827.49789,20752.36541,2349.981766,12295.37728,2965.447494,1924.778346
,,,,22,8539.22286,5598.204138,2221.838228,1510.47093,2301.935655,3747.982619,12727.77149,20398.32217,2333.544095,12260.3842,2903.429552,1930.838731
,,,,23,8493.568378,5649.186449,2202.950027,1507.464618,2300.964283,3718.335611,12676.34533,20073.9412,2333.544095,12234.76968,2872.420581,1916.798839
,,,,24,8659.0254,5931.158679,2253.150218,1548.751291,2390.762223,3750.229605,12780.71017,20143.18656,2352.502881,12344.79114,2917.065419,1946.898752
,,,,25,9318.479022,6671.646981,2489.404235,1666.598688,2691.995457,4005.342033,13341.25525,21520.87875,2448.607787,12844.77867,3138.976525,2043.056864
,,,,26,10094.38935,6799.265123,2616.571319,1700.770425,2829.066832,4455.286851,15268.12267,23039.2663,2816.287206,14563.97745,3309.677375,2125.27609
,,,,27,9973.507505,6674.894262,2602.026394,1680.62814,2828.09546,4472.845675,15656.13804,22944.66771,2878.104948,14922.88339,3292.203264,2129.316347
,,,,28,9777.182441,6528.441891,2574.148622,1642.447989,2814.496253,4446.995773,15439.94652,22612.67075,2835.245992,14717.46294,3257.255043,2097.196305
,,,,29,9469.149604,6278.617742,2497.282736,1588.033757,2731.066195,4407.896927,15105.67652,22031.04975,2770.705446,14377.21325,3198.166287,2057.096756
,,,,30,8972.778539,6623.911951,2380.216295,1502.4541,2587.734868,4325.203634,14540.69467,21111.82002,2667.13804,13839.2073,3030.495629,1978.917787
,,,,31,8479.861241,7466.473119,2254.261289,1432.908102,2434.36603,4192.157018,13623.19158,19795.75721,2492.777722,13013.89507,2889.894692,1894.779439
,,,,32,8249.430229,7549.711754,2152.749836,1370.477041,2386.229154,4020.051883,12637.92697,18580.90687,2300.7696,12110.0249,2881.107133,1914.77871
,,,,33,8039.505958,7412.027041,2120.427782,1348.330548,2332.695767,3871.155008,11866.23215,17827.72572,2160.494758,11404.8186,2802.625145,1892.759311
,,,,34,7964.170667,7343.184685,2102.650652,1334.301096,2318.233118,3792.720278,11385.34719,17448.42946,2074.575157,10966.14458,2764.848744,1870.638904
,,,,35,8014.358217,7369.812389,2114.872429,1327.18616,2337.228836,3751.061248,11132.45152,17379.1841,2027.884106,10726.94118,2758.990371,1874.679161
,,,,36,8207.229514,7500.786054,2163.961549,1347.328445,2407.167616,3748.502691,11068.82425,17628.80813,2013.967551,10671.27496,2798.786901,1896.698561
,,,,37,8572.357436,7772.799956,2247.493859,1392.723743,2534.201481,3808.191364,11269.7896,18278.57218,2051.885121,10843.61839,2882.117198,1944.878623
,,,,38,9074.340872,8114.738641,2394.660213,1481.309711,2671.164925,3927.358145,11756.01884,19472.57876,2141.535973,11278.25862,3026.556379,2009.0177
,,,,39,9429.215424,8021.433435,2536.271214,1585.027446,2715.632174,3998.704512,12460.05298,20873.31933,2261.54105,11893.10816,3199.176351,2095.277183
,,,,40,9551.284499,8164.638526,2616.571319,1625.312015,2745.528844,3957.741545,12879.42822,21969.42037,2336.065211,12233.05532,3310.586433,2133.356604
,,,,41,9584.419075,8285.653863,2640.004808,1650.464819,2776.396886,3979.010324,13450.25853,22708.27144,2449.817922,12756.64049,3377.553689,2159.41626
,,,,42,9608.379583,8282.298339,2636.57059,1660.586066,2776.396886,4030.264154,14016.45041,23353.62624,2545.821983,13280.02398,3433.713259,2157.396132
,,,,43,9523.870224,8232.398455,2622.126672,1677.621829,2749.198472,4052.603676,14440.16158,23718.69262,2628.010334,13657.8887,3446.339062,2143.356239
,,,,44,9415.508286,8113.547972,2559.704704,1635.333052,2682.065877,4030.05359,14519.01502,23606.55721,2645.658139,13742.79986,3391.08855,2111.236198
,,,,45,9283.185841,7936.029946,2503.94916,1603.165523,2637.598628,3976.803665,14383.18947,23079.8515,2631.741584,13696.20965,3333.918916,2067.197398
,,,,46,9178.169741,7838.286789,2479.4046,1579.014824,2602.197517,3938.681487,14255.12826,22554.34831,2615.404759,13640.74512,3266.951659,2021.037464
,,,,47,9182.70281,7934.839276,2457.082181,1582.021135,2585.900054,3905.313535,14202.59292,22187.17751,2616.614894,13623.60154,3224.32695,2033.057228
,,,,48,9339.093693,8364.454548,2498.393807,1636.335156,2682.065877,3924.270155,14271.16112,22347.61432,2624.178239,13675.83904,3266.951659,2105.276819
,,,,49,9995.093548,9364.617084,2681.215428,1773.322734,2984.162553,4161.478792,14725.82883,23517.47019,2705.05561,14091.3188,3458.964864,2283.654157
,,,,50,10668.36224,9359.096707,2753.637031,1789.456604,3126.630438,4609.387188,16532.90355,24425.67679,3039.859689,15722.68193,3590.778243,2283.654157
,,,,51,10585.04011,9228.123041,2717.981765,1748.169931,3125.766997,4638.216776,16856.18247,24265.13978,3099.25716,16029.95544,3554.920963,2247.594865
,,,,52,10376.19514,9026.142165,2667.781574,1692.753595,3094.035513,4600.565416,16570.61607,23652.75419,3048.734014,15753.94376,3522.901928,2209.515445
,,,,53,10020.24129,8627.592548,2558.593633,1621.3036,2980.600856,4518.082688,16102.94057,22710.47607,2956.461203,15276.44457,3424.016643,2121.33684
,,,,54,9399.534614,7985.92983,2399.104496,1523.598488,2780.929955,4392.359041,15263.58506,21381.18549,2796.017441,14497.42002,3234.023566,1988.917423
,,,,55,8732.094156,7560.752509,2216.282875,1424.891272,2604.895772,4166.728245,14054.6671,19683.6218,2573.655093,13410.51689,3021.708071,1904.779075
,,,,56,8346.351563,7274.342328,2124.872064,1340.313719,2505.168252,3961.785851,12832.94301,18103.70508,2336.065211,12303.64654,2869.491395,1822.559848
,,,,57,8154.667499,7042.378225,2075.883951,1306.041772,2450.663493,3757.483711,11994.49503,17285.68782,2184.495773,11544.28668,2784.241976,1784.480428
,,,,58,8103.400646,6999.081145,2058.005814,1317.165123,2441.597355,3681.161565,11550.21339,16860.19458,2104.929382,11129.2103,2738.688081,1756.400643
,,,,59,8188.989307,7061.212454,2081.439304,1322.175642,2487.035976,3632.170203,11344.50877,16755.77538,2063.179717,10909.46991,2760.000435,1758.420772
,,,,60,8483.315007,7210.046165,2144.972342,1314.158812,2597.664448,3627.338188,11330.9968,16986.66007,2060.658602,10892.42718,2805.554331,1796.500192
,,,,61,9156.475767,7671.809518,2284.361202,1388.615118,2805.430114,3705.958637,11723.65062,17878.33196,2128.930398,11212.70963,2959.690128,1896.698561
,,,,62,10111.55025,8232.398455,2555.260421,1522.596385,3026.902918,3892.972394,12653.15314,19831.03126,2301.979735,12094.69652,3238.871874,2049.117249
,,,,63,10511.97135,8517.617966,2764.848744,1678.623933,3066.729168,4099.402602,14105.99242,22372.96754,2568.612863,13384.80152,3548.153533,2163.355511
,,,,64,10330.64859,8655.302679,2807.170434,1685.738869,3027.76636,4116.244209,14971.56518,23648.34494,2720.1823,14122.58063,3663.502865,2189.415167
,,,,65,10110.36302,8712.996038,2746.970607,1672.611311,2988.695622,4073.202865,15292.52488,23376.77483,2790.975211,14492.37779,3597.545673,2157.396132
,,,,66,9958.613135,8802.94572,2670.104721,1647.458507,2947.034558,4038.866803,15525.25344,23005.09456,2847.851567,14803.58423,3597.545673,2153.355875
,,,,67,9852.517732,8759.648641,2576.370763,1625.312015,2893.501171,4072.916138,15713.11015,22604.95455,2885.769137,15054.28391,3575.223254,2129.316347
,,,,68,9715.554288,8687.559003,2498.393807,1591.040068,2836.298156,4052.874919,15697.07729,22158.51735,2897.063733,15116.00081,3502.599638,2113.256326
,,,,69,9622.08672,8577.584421,2428.093338,1582.021135,2788.26921,4023.017347,15614.79545,21873.81968,2888.290252,15100.77327,3434.723323,2083.156413
,,,,70,9483.936044,8513.180016,2381.327366,1558.872539,2759.235982,4000.525501,15575.87291,21606.65883,2892.021503,15132.64017,3393.007672,2081.237291
,,,,71,9431.481958,8572.064044,2337.793599,1553.76181,2743.801961,3966.839054,15473.42394,21391.10632,2878.104948,15041.67833,3350.382962,2067.197398
,,,,72,9523.870224,8860.639079,2377.994154,1593.044276,2808.2363,3957.546463,15270.84523,21473.57946,2835.245992,14847.65332,3360.079579,2127.296219
,,,,73,10183.43178,9624.399561,2585.360335,1712.89588,3089.502444,4175.722318,15562.2601,22722.60153,2879.415927,15070.21736,3562.698458,2257.594501
,,,,74,10912.50039,9598.854284,2726.87033,1746.165723,3204.663985,4579.413126,17213.84633,23902.27802,3188.908012,16505.23605,3678.956848,2283.654157
,,,,75,10847.41847,9375.766082,2715.759623,1731.033957,3207.36224,4625.801538,17478.23727,23780.22179,3231.968657,16694.42052,3656.735435,2245.574737
,,,,76,10672.89531,9113.818751,2681.215428,1692.753595,3158.361922,4575.288966,17129.85028,23294.3017,3162.385881,16329.36306,3631.48383,2201.535937
,,,,77,10288.33995,8673.054482,2596.471041,1619.199183,3005.964456,4484.969693,16568.70019,22593.93141,3055.087224,15803.15593,3532.598545,2129.316347
,,,,78,9616.366419,8015.913058,2429.204409,1511.473033,2770.029003,4349.564095,15659.96979,21425.17785,2878.104948,14942.44725,3346.443712,1980.937915
,,,,79,8969.432702,7639.553194,2278.704843,1407.755299,2567.767778,4133.655577,14439.15323,19745.25118,2646.969119,13793.12131,3134.128216,1902.758946
,,,,80,8603.117548,7294.367228,2176.183326,1341.315822,2447.965238,3896.642022,13295.47589,18290.59743,2429.649001,12749.68221,2981.002483,1838.619869
,,,,81,8442.193595,7164.475989,2154.971978,1317.165123,2398.964919,3786.676186,12515.00838,17413.25562,2288.06318,12038.1227,2890.80375,1810.540084
,,,,82,8406.900414,7164.475989,2134.972706,1294.016527,2380.832643,3710.302723,12032.20754,17052.69871,2195.891213,11576.6578,2865.653151,1788.419678
,,,,83,8518.716118,7208.855495,2152.749836,1294.016527,2405.332802,3684.217412,11778.30351,16976.73925,2151.620433,11326.05897,2864.643087,1796.500192
,,,,84,8833.65649,7423.176039,2224.161376,1319.16933,2518.76746,3712.963914,11760.25394,17151.60634,2141.535973,11319.30238,2900.500366,1826.600105
,,,,85,9592.405911,7882.666295,2355.671735,1394.72795,2729.231382,3789.572786,12109.24594,18003.69513,2205.975674,11619.6176,3037.263059,1918.818967
,,,,86,10612.45439,8455.486657,2632.126307,1537.728151,2960.633766,3976.9812,13055.99135,19924.42732,2376.604741,12497.67155,3313.515619,2089.216798
,,,,87,11022.04956,8817.341999,2859.592766,1685.738869,3007.79927,4205.40759,14485.13426,22469.67055,2643.137024,13746.63195,3619.868092,2201.535937
,,,,88,10683.14868,8750.772739,2876.258825,1690.749388,2956.100696,4194.090003,15299.48254,23868.20649,2778.268791,14447.80447,3727.439929,2217.494952
,,,,89,10240.41893,8683.121053,2803.837222,1680.62814,2904.402123,4151.521104,15524.74926,23501.03569,2836.456127,14742.97662,3685.825284,2179.415531
,,,,90,9990.560479,8640.9064,2710.20427,1661.58817,2872.562709,4178.204713,15659.16311,23018.32233,2866.810352,15010.01313,3645.119697,2159.41626
,,,,91,9781.823441,8632.030499,2624.348813,1639.341467,2828.09546,4094.845521,15784.19925,22653.35616,2902.105963,15193.04608,3566.536702,2129.316347
,,,,92,9665.366737,8417.709955,2528.49372,1611.182353,2780.066514,4066.385745,15807.89561,22428.98514,2919.854613,15311.74018,3526.841179,2097.196305
,,,,93,9538.764593,8363.372121,2471.627105,1582.021135,2751.896727,4053.448372,15756.36862,22222.35135,2921.064748,15325.25336,3476.438975,2075.176906
,,,,94,9462.35,8304.488092,2393.549143,1553.76181,2728.36794,4043.018238,15778.24995,22027.74281,2928.628093,15371.74272,3408.56266,2045.076992
,,,,95,9431.481958,8285.653863,2370.115653,1562.880954,2696.528526,4014.609779,15682.45613,21827.6227,2918.543633,15309.92498,3400.785166,2043.056864
,,,,96,9549.017964,8639.823973,2399.104496,1618.197079,2751.033285,4008.617004,15617.82051,22024.43587,2899.584848,15226.02227,3405.633474,2093.257055
,,,,97,10133.24423,9421.228016,2604.248535,1731.033957,3004.129643,4205.042272,15868.59864,23107.40935,2936.292283,15428.61907,3577.243382,2235.575101
,,,,98,10807.48429,9462.360241,2739.193113,1748.169931,3130.300066,4600.60125,17371.75488,24172.74581,3207.866797,16725.88404,3698.35008,2259.614629
,,,,99,10760.7505,9309.196822,2721.314977,1704.87905,3128.465252,4618.421955,17530.1676,23950.67963,3234.489772,16818.056,3673.199482,2223.555337
