R_ID,Zone_name,Zone,Resource,Cluster,New_Build,Num_Units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,capex,Inv_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,Min_Duration,Max_Duration,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
1,CA_N,1,biomass,1,0,32,6.6,209.9,0,-1,0,0,0,0,100830,0,2.3,pacific_uranium,10.46,0,0,0.5,0.25,0.25,1,235,0,24,24,1,1,0,0,1,0,0,0,0,0,1
2,CA_N,1,biomass,1,1,0,0,0,0,-1,1660381.746,733972.501,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
3,CA_N,1,conventional_hydroelectric,0,1,0,0,0,0,-1,1660381.746,623105.983,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
4,CA_N,1,geothermal,1,0,69,76.1,5254,0,-1,0,0,0,0,17943,0,0,None,9.13,0,0.016,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
5,CA_N,1,geothermal,1,1,0,0,0,0,-1,1660381.746,552516.127,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
6,CA_N,1,hydroelectric_pumped_storage,1,0,62,92.8,5751.7,0,-1,0,0,0,0,68272,0,0,None,9.12,0,0.006,0,0.083,0.083,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
7,CA_N,1,hydroelectric_pumped_storage,1,1,0,0,0,0,-1,785075.416,98328.543,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
8,CA_N,1,onshore_wind_turbine,2,-1,2,21,42,6666.67,-1,1152631.419,265727.251,0,0,36613,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
9,CA_N,1,small_hydroelectric,1,0,53,73.5,3893.9,0,-1,785075.416,93980.878,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
10,CA_N,1,small_hydroelectric,0,1,0,0,0,0,-1,785075.416,95166.368,0,0,12103,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
11,CA_N,1,solar_photovoltaic,2,-1,6,12.2,73.02,46.22,-1,1660381.746,733972.501,0,0,61431,0,0,None,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
