,biomass,biomass,conventional_hydroelectric,geothermal,geothermal,hydroelectric_pumped_storage,hydroelectric_pumped_storage,onshore_wind_turbine,small_hydroelectric,small_hydroelectric,solar_photovoltaic,biomass,biomass,conventional_hydroelectric,geothermal,geothermal,hydroelectric_pumped_storage,hydroelectric_pumped_storage,onshore_wind_turbine,small_hydroelectric,small_hydroelectric,solar_photovoltaic,biomass,biomass,conventional_hydroelectric,geothermal,geothermal,onshore_wind_turbine,solar_photovoltaic,biomass,biomass,conventional_hydroelectric,geothermal,geothermal,hydroelectric_pumped_storage,hydroelectric_pumped_storage,nuclear,onshore_wind_turbine,solar_photovoltaic,biomass,biomass,conventional_hydroelectric,geothermal,geothermal,hydroelectric_pumped_storage,hydroelectric_pumped_storage,nuclear,onshore_wind_turbine,solar_photovoltaic,biomass,biomass,conventional_hydroelectric,hydroelectric_pumped_storage,hydroelectric_pumped_storage,onshore_wind_turbine,solar_photovoltaic,naturalgas_ccccsavgcf,new_onshore_wind,new_floating_offshore_wind,new_floating_offshore_wind,new_floating_offshore_wind,new_floating_offshore_wind,new_floating_offshore_wind,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,battery,nuclear,naturalgas_ccs100,naturalgas_ccccsavgcf,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,battery,nuclear,naturalgas_ccs100,naturalgas_ccccsavgcf,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,battery,nuclear,naturalgas_ccs100,naturalgas_ccccsavgcf,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,battery,nuclear,naturalgas_ccs100,naturalgas_ccccsavgcf,new_onshore_wind,new_floating_offshore_wind,new_floating_offshore_wind,new_floating_offshore_wind,new_utility_pv,battery,nuclear,naturalgas_ccs100,naturalgas_ccccsavgcf,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_onshore_wind,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,new_utility_pv,battery,nuclear,naturalgas_ccs100,new_biogas_CCGT,new_biogas_CCGT,new_biogas_CCGT,new_biogas_CCGT,new_biogas_CCGT,new_biogas_CCGT
1,1,1,0.391,1,1,1,1,0.2201,1,1,0,1,1,0.391,1,1,1,1,0.605769867,1,1,0,1,1,0.292,1,1,0.514154457,0,1,1,0.332666667,1,1,1,1,1,0.069093478,0,1,1,0.292,1,1,1,1,1,0.5738,0,1,1,0.364,1,1,0.375162218,0,1,1,0.0034,0.2927,0,0.2197,0.0262,0,0,0,0,1,1,1,1,0.3071,0.3426,0.3082,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.6609,0.5766,0.5166,0.424,0.5256,0.4451,0,0,0,0,0,0,0,0,1,1,1,1,0.0957,0.3844,0.169,0.3441,0.1923,0.2847,0.2469,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5692,0.1324,0.3076,0.2491,0,1,1,1,1,0.38,0.427,0.573,0.609,0.5506,0.6057,0.4867,0,0,0,0,0,1,1,1,1,1,1,1,1,1
2,1,1,0.39,1,1,1,1,0.1691,1,1,0,1,1,0.39,1,1,1,1,0.603704682,1,1,0,1,1,0.292,1,1,0.448201592,0,1,1,0.332,1,1,1,1,1,0.037829194,0,1,1,0.292,1,1,1,1,1,0.5048,0,1,1,0.364,1,1,0.407694402,0,1,1,0,0.3025,0,0.2023,0.0268,0,0,0,0,1,1,1,1,0.3125,0.3444,0.3194,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.6048,0.5837,0.439,0.3736,0.4846,0.4641,0,0,0,0,0,0,0,0,1,1,1,1,0.1129,0.3151,0.1858,0.2852,0.204,0.3473,0.2334,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.5412,0.116,0.2595,0.2551,0,1,1,1,1,0.379,0.4792,0.5952,0.6555,0.5922,0.6452,0.5455,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3,1,1,0.39,1,1,1,1,0.2051,1,1,0,1,1,0.39,1,1,1,1,0.535683487,1,1,0,1,1,0.292,1,1,0.445573726,0,1,1,0.332,1,1,1,1,1,0.024351712,0,1,1,0.292,1,1,1,1,1,0.4274,0,1,1,0.364,1,1,0.398654073,0,1,1,0,0.1729,0,0.0906,0.002,0,0,0,0,1,1,1,1,0.2938,0.3885,0.2657,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.6184,0.5889,0.4245,0.3671,0.3692,0.4109,0,0,0,0,0,0,0,0,1,1,1,1,0.1199,0.2291,0.1793,0.2161,0.2098,0.345,0.2037,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.4939,0.0638,0.1968,0.2871,0,1,1,1,1,0.4315,0.5064,0.5935,0.6346,0.5966,0.6348,0.5647,0,0,0,0,0,1,1,1,1,1,1,1,1,1
4,1,1,0.39,1,1,1,1,0.1669,1,1,0,1,1,0.39,1,1,1,1,0.536531272,1,1,0,1,1,0.292,1,1,0.420515149,0,1,1,0.331666667,1,1,1,1,1,0.015606651,0,1,1,0.292,1,1,1,1,1,0.28,0,1,1,0.3635,1,1,0.296330163,0,1,1,0,0.1749,0,0.0962,0.0016,0,0,0,0,1,1,1,1,0.2504,0.3853,0.23,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.4097,0.5008,0.2781,0.3173,0.27,0.3358,0,0,0,0,0,0,0,0,1,1,1,1,0.1174,0.094,0.1557,0.0958,0.1773,0.3247,0.1307,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.2938,0.0874,0.1289,0.2933,0,1,1,1,1,0.4888,0.4866,0.5168,0.4975,0.5265,0.5101,0.4649,0,0,0,0,0,1,1,1,1,1,1,1,1,1
5,1,1,0.39,1,1,1,1,0.1664,1,1,0,1,1,0.39,1,1,1,1,0.430016775,1,1,0,1,1,0.292,1,1,0.396614749,0,1,1,0.331666667,1,1,1,1,1,0.010606937,0,1,1,0.292,1,1,1,1,1,0.2533,0,1,1,0.3635,1,1,0.266531829,0,1,1,0,0.1411,0,0.0729,0.003,0,0,0,0,1,1,1,1,0.2308,0.3573,0.1558,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.2867,0.3991,0.1957,0.2097,0.1971,0.258,0,0,0,0,0,0,0,0,1,1,1,1,0.181,0.0581,0.2219,0.0642,0.2303,0.3572,0.0911,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.2255,0.0918,0.0721,0.3508,0,1,1,1,1,0.5847,0.4946,0.47,0.4368,0.5067,0.4537,0.4801,0,0,0,0,0,1,1,1,1,1,1,1,1,1
6,1,1,0.389,1,1,1,1,0.277,1,1,0,1,1,0.389,1,1,1,1,0.403804502,1,1,0,1,1,0.292,1,1,0.355961509,0.000170617,1,1,0.331666667,1,1,1,1,1,0.014697368,0.018478651,1,1,0.292,1,1,1,1,1,0.2696,0,1,1,0.3635,1,1,0.268226058,0.200369702,1,1,0,0.2168,0,0.1598,0.0049,0.3357,0.2835,0.3341,0.3189,1,1,1,1,0.1867,0.2699,0.1438,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.1609,0.2645,0.1265,0.2325,0.2567,0.217,0,0,0,0,0,0,0,0,1,1,1,1,0.2657,0.046,0.261,0.0599,0.2688,0.3277,0.0799,0.0623,0,0,0.1655,0.0646,0,0,0,0.0797,0,0.166,0,1,1,1,1,0.1778,0.0903,0.0697,0.3925,0,1,1,1,1,0.6979,0.5794,0.4413,0.4444,0.4679,0.4405,0.4204,0.267,0.2651,0.2759,0.2873,0.2486,1,1,1,1,1,1,1,1,1
7,1,1,0.389,1,1,1,1,0.2232,1,1,0.2129,1,1,0.389,1,1,1,1,0.366490455,1,1,0.220572185,1,1,0.292,1,1,0.299158378,0.286862309,1,1,0.331,1,1,1,1,1,0.009190967,0.315245513,1,1,0.292,1,1,1,1,1,0.2221,0.1849,1,1,0.363,1,1,0.197431947,0.450889546,1,1,0,0.394,0,0.2921,0.0047,0.6589,0.6276,0.6605,0.6538,1,1,1,1,0.1437,0.194,0.0973,0.3553,0.3679,0.3777,0.371,0.347,0.3614,0.3772,0.3665,0.3517,0.3477,1,1,1,1,0.0653,0.2418,0.063,0.2787,0.3388,0.1959,0.4169,0.5045,0.4167,0.3735,0.47,0.4145,0.376,0.4496,1,1,1,1,0.1542,0.0292,0.1434,0.0414,0.1453,0.3623,0.0596,0.4463,0.4101,0.2643,0.5397,0.4399,0.2851,0.2811,0.4067,0.4452,0.2682,0.5518,0.2937,1,1,1,1,0.1225,0.0805,0.096,0.3927,0.3427,1,1,1,1,0.6079,0.5283,0.3612,0.3839,0.3466,0.3584,0.2689,0.6072,0.5918,0.6217,0.6295,0.5662,1,1,1,1,1,1,1,1,1
8,1,1,0.389,1,1,1,1,0.1456,1,1,0.4498,1,1,0.389,1,1,1,1,0.24847739,1,1,0.4350272,1,1,0.292,1,1,0.200733658,0.48313355,1,1,0.330666667,1,1,1,1,1,0.006323207,0.565595605,1,1,0.292,1,1,1,1,1,0.083,0.3912,1,1,0.363,1,1,0.115259553,0.607399646,1,1,0,0.2217,0,0.1469,0,0.8641,0.8376,0.8577,0.8577,1,1,1,1,0.1266,0.1045,0.0393,0.6335,0.6457,0.6539,0.6511,0.6304,0.6681,0.6655,0.6472,0.6613,0.6577,1,1,1,1,0.0083,0.1769,0.0295,0.1791,0.2393,0.1391,0.7208,0.7434,0.7169,0.6553,0.7096,0.7118,0.6612,0.6945,1,1,1,1,0.1036,0.0047,0.1292,0.0075,0.1386,0.2961,0.0126,0.707,0.6796,0.5957,0.781,0.6972,0.5636,0.5962,0.674,0.6643,0.5466,0.7908,0.5989,1,1,1,1,0.0489,0.0272,0.0553,0.2791,0.6589,1,1,1,1,0.2993,0.2663,0.2023,0.1514,0.1856,0.1428,0.1306,0.8306,0.8293,0.8324,0.8328,0.7885,1,1,1,1,1,1,1,1,1
9,1,1,0.389,1,1,1,1,0.0345,1,1,0.6182,1,1,0.389,1,1,1,1,0.007907849,1,1,0.593752817,1,1,0.292,1,1,0.138496718,0.599190672,1,1,0.330666667,1,1,1,1,1,0.003619287,0.741705708,1,1,0.292,1,1,1,1,1,0.044,0.5371,1,1,0.363,1,1,0.151861992,0.672639639,1,1,0,0.1501,0,0.0807,0,0.9397,0.9158,0.921,0.9387,1,1,1,1,0.0137,0.0275,0.0086,0.805,0.8144,0.8378,0.838,0.7969,0.8727,0.8579,0.8163,0.8537,0.8631,1,1,1,1,0.0003,0.0844,0.0134,0.1795,0.1752,0.061,0.9049,0.8818,0.8998,0.8243,0.8516,0.8974,0.8282,0.836,1,1,1,1,0.1609,0.0007,0.1291,0.0066,0.1342,0.1189,0.0091,0.841,0.8494,0.7634,0.8919,0.8345,0.6927,0.7595,0.8481,0.811,0.7465,0.9008,0.7647,1,1,1,1,0.0369,0.0031,0.0548,0.2134,0.8464,1,1,1,1,0.1798,0.1479,0.1422,0.0753,0.1641,0.1067,0.1615,0.916,0.9183,0.9135,0.9044,0.8917,1,1,1,1,1,1,1,1,1
10,1,1,0.388,1,1,1,1,0.003,1,1,0.695,1,1,0.388,1,1,1,1,0.0059935,1,1,0.672025027,1,1,0.292,1,1,0.106009918,0.635771856,1,1,0.330333333,1,1,1,1,1,0.007324749,0.823164144,1,1,0.292,1,1,1,1,1,0.0279,0.6182,1,1,0.3625,1,1,0.266144917,0.716299865,1,1,0,0.161,0,0.103,0,0.9534,0.938,0.9392,0.9508,1,1,1,1,0.0056,0.0068,0.0081,0.8659,0.8659,0.9006,0.9042,0.8612,0.9501,0.927,0.8815,0.9344,0.9399,1,1,1,1,0.0027,0.0579,0.0338,0.1637,0.1536,0.0669,0.96,0.9111,0.9572,0.8908,0.8932,0.9562,0.8922,0.8737,1,1,1,1,0.1746,0.0168,0.1268,0.0275,0.087,0.1124,0.0457,0.8664,0.9006,0.8167,0.9348,0.8703,0.7659,0.8048,0.9038,0.8495,0.7995,0.9441,0.8092,1,1,1,1,0.0245,0.0014,0.0872,0.1856,0.9196,1,1,1,1,0.1582,0.1681,0.1654,0.0758,0.2217,0.1943,0.236,0.9581,0.9554,0.9577,0.9519,0.9186,1,1,1,1,1,1,1,1,1
