Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
9000,1,9000,1,16,168,1,504,1,18637,26154,11681,19738,23146,14838
,2,600,0.075,,,2,336,2,17258,24219,10898,18223,21419,13795
,,,,,,3,1344,3,16676,23403,10379,17296,20953,13558
,,,,,,4,504,4,16195,22689,10277,17012,20782,13387
,,,,,,5,504,5,15061,20989,10243,16657,20707,13088
,,,,,,6,504,6,13442,19115,10339,15738,21307,13357
,,,,,,7,336,7,11911,17385,10519,14883,22367,13380
,,,,,,8,840,8,11176,16638,10923,15330,24377,13543
,,,,,,9,336,9,11889,17477,11736,16766,26964,14671
,,,,,,10,840,10,13537,20189,12683,18680,29411,15932
,,,,,,11,672,11,15402,23206,13583,20759,31318,17347
,,,,,,12,504,12,17700,25888,14519,23027,33151,18703
,,,,,,13,336,13,20192,29906,15272,25000,34896,20113
,,,,,,14,336,14,21887,32513,16095,26759,35306,20933
,,,,,,15,672,15,24334,35707,16457,28222,35702,21701
,,,,,,16,168,16,27092,38970,16802,29467,36553,22470
,,,,,,,,17,29237,41112,17089,30416,37679,23431
,,,,,,,,18,28958,40638,17053,29803,37341,23380
,,,,,,,,19,29647,41605,16809,29206,38440,24228
,,,,,,,,20,29242,41037,17065,29648,38056,23922
,,,,,,,,21,28565,40088,16618,28496,35762,22880
,,,,,,,,22,26425,37084,15510,26217,32422,21388
,,,,,,,,23,23481,32952,14012,23708,28783,19369
,,,,,,,,24,20433,28675,12678,21464,25424,17550
,,,,,,,,25,17346,24344,11461,19312,20422,15005
,,,,,,,,26,16637,23348,10204,17539,19625,14435
,,,,,,,,27,16103,22597,9988,17164,19218,13934
,,,,,,,,28,16063,22516,9906,17128,19593,13826
,,,,,,,,29,16176,21933,10209,17580,20728,13924
,,,,,,,,30,17083,21849,10957,17824,22973,14834
,,,,,,,,31,18060,22786,11922,18184,25945,15987
,,,,,,,,32,17437,24095,12942,19160,29081,17164
,,,,,,,,33,17237,24393,13968,20625,30663,17771
,,,,,,,,34,18351,25853,14553,21528,31408,18168
,,,,,,,,35,21563,28582,15043,22593,32572,19238
,,,,,,,,36,24258,31343,15742,24386,34092,20386
,,,,,,,,37,26542,34854,16464,26114,35297,21402
,,,,,,,,38,28148,37759,17028,27830,35777,21966
,,,,,,,,39,30461,41928,17401,29406,36682,22323
,,,,,,,,40,33674,47229,17934,31666,39267,23983
,,,,,,,,41,36751,51589,18878,33824,42211,25777
,,,,,,,,42,37923,53220,19575,34447,44249,27044
,,,,,,,,43,34065,47807,19497,33488,40446,24732
,,,,,,,,44,29528,41437,17994,30951,35462,21653
,,,,,,,,45,28326,39751,16208,27889,32972,20825
,,,,,,,,46,25906,36356,14727,25515,29779,19362
,,,,,,,,47,22968,32232,13273,23010,26435,17567
,,,,,,,,48,20634,28957,12133,20926,23970,16373
,,,,,,,,49,18861,26468,11326,19770,22316,15429
,,,,,,,,50,17801,24981,10808,18771,21353,14758
,,,,,,,,51,17077,23965,10511,18141,20762,14195
,,,,,,,,52,16915,23726,10412,18035,21080,14068
,,,,,,,,53,16409,23264,10714,18467,22000,14112
,,,,,,,,54,16125,23546,11351,18642,24069,15033
,,,,,,,,55,16565,24529,12224,19041,26813,16131
,,,,,,,,56,17409,25879,12826,19750,29872,17078
,,,,,,,,57,18083,25913,14038,20651,31184,17703
,,,,,,,,58,18770,27710,14754,22353,31562,18110
,,,,,,,,59,20477,30649,15114,23355,32649,19216
,,,,,,,,60,22895,32807,15791,25071,34070,20405
,,,,,,,,61,25192,37043,16544,26499,35136,21602
,,,,,,,,62,27589,40397,17053,27984,35396,22038
,,,,,,,,63,30904,44659,17441,29394,36181,22898
,,,,,,,,64,35309,50228,17962,31546,38197,24637
,,,,,,,,65,38912,54649,18817,33848,41045,26530
,,,,,,,,66,39728,55753,19469,34495,42585,27849
,,,,,,,,67,35600,49960,19420,33557,38814,25371
,,,,,,,,68,31033,43549,17805,30910,34054,22153
,,,,,,,,69,29965,42052,16109,27849,31751,21206
,,,,,,,,70,27507,38602,14718,25546,28774,19684
,,,,,,,,71,24340,34157,13215,22962,25690,17898
,,,,,,,,72,21692,30441,12130,20998,23338,16629
,,,,,,,,73,19958,28008,11431,19618,21903,15789
,,,,,,,,74,19043,26724,10939,18726,20976,15130
,,,,,,,,75,18287,25664,10620,18048,20622,14596
,,,,,,,,76,18079,25359,10540,17861,20954,14421
,,,,,,,,77,17393,24660,10828,18335,21893,14439
,,,,,,,,78,16712,24718,11463,18719,24111,15392
,,,,,,,,79,16989,25895,12354,19019,26980,16542
