Transmission Path Name,Network_lines,z1,z2,z3,z4,z5,z6,Line_Max_Flow_MW,Distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MW_yr
CA_N_to_CA_S,1,1,-1,0,0,0,0,3675,333.6,0.0334,3675,90280
CA_N_to_WECC_N,2,1,0,-1,0,0,0,100,490.7,0.0491,100,92347
CA_S_to_WECC_N,3,0,1,-1,0,0,0,1920,555.9,0.0556,1400,104618
CA_S_to_WECC_NMAZ,4,0,1,0,-1,0,0,10464,446.7,0.0447,10464,84067
WECC_N_to_WECC_NMAZ,5,0,0,1,-1,0,0,800,598.8,0.0599,740,63333
WECC_N_to_WECC_WYCO,6,0,0,1,0,0,-1,6350,384.3,0.0384,4150,40646
WECC_NMAZ_to_WECC_WYCO,7,0,0,0,1,0,-1,664,485.2,0.0485,664,51318
CA_N_to_WECC_PNW,8,1,0,0,0,-1,0,4200,249.5,0.025,3675,46955
CA_S_to_WECC_PNW,9,0,1,0,0,-1,0,2858,401.5,0.0402,2858,75560
WECC_N_to_WECC_PNW,10,0,0,1,0,-1,0,5150,478.5,0.0479,5150,50609
