,ev_load_shifting_z1,ev_load_shifting_z2,ev_load_shifting_z3,ev_load_shifting_z4,ev_load_shifting_z5,ev_load_shifting_z6
1,0.383,0.387,0.449,0.313,0.335,0.376
2,0.309,0.299,0.393,0.255,0.259,0.351
3,0.287,0.248,0.375,0.23,0.235,0.344
4,0.279,0.227,0.367,0.215,0.222,0.33
5,0.272,0.211,0.362,0.217,0.212,0.335
6,0.286,0.209,0.403,0.299,0.231,0.462
7,0.41,0.32,0.485,0.398,0.358,0.481
8,0.458,0.401,0.532,0.469,0.391,0.537
9,0.525,0.475,0.605,0.572,0.455,0.665
10,0.656,0.593,0.707,0.692,0.578,0.736
11,0.705,0.706,0.757,0.751,0.638,0.758
12,0.71,0.756,0.782,0.787,0.66,0.801
13,0.736,0.795,0.809,0.808,0.698,0.775
14,0.7,0.808,0.801,0.805,0.677,0.766
15,0.68,0.806,0.812,0.813,0.677,0.793
16,0.692,0.817,0.848,0.828,0.701,0.852
17,0.735,0.847,0.826,0.763,0.747,0.833
18,0.698,0.746,0.812,0.729,0.648,0.849
19,0.714,0.725,0.816,0.722,0.66,0.869
20,0.739,0.722,0.812,0.697,0.676,0.863
21,0.716,0.696,0.777,0.647,0.665,0.823
22,0.66,0.641,0.709,0.578,0.616,0.746
23,0.582,0.57,0.63,0.498,0.537,0.639
24,0.484,0.484,0.525,0.393,0.434,0.438
25,0.329,0.368,0.397,0.291,0.304,0.366
26,0.28,0.28,0.356,0.245,0.257,0.332
27,0.259,0.239,0.334,0.221,0.232,0.311
28,0.252,0.215,0.33,0.213,0.22,0.321
29,0.273,0.21,0.352,0.239,0.233,0.345
30,0.318,0.232,0.43,0.357,0.278,0.546
31,0.509,0.387,0.548,0.483,0.473,0.578
32,0.564,0.491,0.585,0.525,0.523,0.569
33,0.564,0.527,0.6,0.552,0.538,0.573
34,0.566,0.554,0.628,0.6,0.558,0.621
35,0.596,0.609,0.663,0.642,0.609,0.639
36,0.608,0.646,0.683,0.668,0.634,0.638
37,0.602,0.669,0.699,0.694,0.645,0.665
38,0.611,0.699,0.726,0.73,0.672,0.666
39,0.618,0.734,0.754,0.769,0.708,0.717
40,0.659,0.78,0.801,0.806,0.768,0.769
41,0.699,0.826,0.772,0.739,0.828,0.758
42,0.688,0.726,0.774,0.709,0.708,0.735
43,0.662,0.705,0.753,0.674,0.673,0.681
44,0.613,0.663,0.715,0.626,0.607,0.717
45,0.621,0.628,0.688,0.595,0.62,0.69
46,0.579,0.591,0.631,0.534,0.581,0.621
47,0.508,0.525,0.562,0.46,0.505,0.545
48,0.437,0.45,0.494,0.384,0.424,0.444
49,0.352,0.37,0.422,0.306,0.327,0.372
50,0.3,0.296,0.378,0.258,0.27,0.336
51,0.276,0.252,0.354,0.232,0.242,0.314
52,0.267,0.227,0.35,0.222,0.229,0.322
53,0.287,0.22,0.371,0.249,0.243,0.348
54,0.33,0.24,0.445,0.369,0.289,0.546
55,0.522,0.397,0.551,0.494,0.493,0.575
56,0.576,0.501,0.595,0.535,0.547,0.57
57,0.573,0.535,0.608,0.562,0.568,0.57
58,0.569,0.564,0.634,0.61,0.593,0.625
59,0.597,0.62,0.67,0.652,0.651,0.644
60,0.607,0.657,0.693,0.674,0.682,0.65
61,0.601,0.677,0.706,0.696,0.698,0.67
62,0.606,0.703,0.736,0.732,0.73,0.69
63,0.612,0.738,0.765,0.771,0.766,0.745
64,0.645,0.782,0.81,0.808,0.827,0.801
65,0.685,0.83,0.776,0.746,0.887,0.79
66,0.669,0.732,0.78,0.715,0.742,0.766
67,0.642,0.71,0.752,0.678,0.703,0.707
68,0.595,0.668,0.716,0.633,0.638,0.737
69,0.603,0.635,0.692,0.601,0.653,0.707
70,0.564,0.597,0.633,0.539,0.614,0.639
71,0.497,0.53,0.565,0.466,0.532,0.557
72,0.428,0.455,0.496,0.385,0.443,0.457
73,0.344,0.369,0.423,0.307,0.346,0.381
74,0.294,0.297,0.378,0.259,0.289,0.346
75,0.272,0.253,0.356,0.232,0.259,0.322
