Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Representative_Periods,Hours_per_period,Representative_Period_Index,Representative_Period_Weight,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
9000,1,9000,1,16,168,1,504,1,14798,20766,10016,21047,18287,11857
,2,600,0.075,,,2,336,2,14215,19948,9738,20346,17685,11655
,,,,,,3,1344,3,13688,19209,9532,19694,17323,11567
,,,,,,4,504,4,13300,18627,9474,19307,17231,11492
,,,,,,5,504,5,12304,17119,9562,19008,17345,11583
,,,,,,6,504,6,10358,14787,9626,17974,17596,11430
,,,,,,7,336,7,8490,12581,9911,17970,18129,11391
,,,,,,8,840,8,7374,11300,10511,19037,19330,11946
,,,,,,9,336,9,7250,10964,11136,20430,20666,12388
,,,,,,10,840,10,7716,12017,11679,22127,21569,13039
,,,,,,11,672,11,8573,13619,12218,23755,22151,13571
,,,,,,12,504,12,9704,14665,12590,25180,22506,14059
,,,,,,13,336,13,11119,17171,13031,26554,22781,14636
,,,,,,14,336,14,12792,19747,13434,28231,23007,15177
,,,,,,15,672,15,15120,22773,13765,29556,23234,15617
,,,,,,16,168,16,17508,25518,13973,30686,23538,15969
,,,,,,,,17,19114,26907,13968,31200,23760,16270
,,,,,,,,18,19295,27078,13754,30292,23807,16196
,,,,,,,,19,19065,26754,13533,29816,23777,16034
,,,,,,,,20,18969,26621,13220,28717,23884,15980
,,,,,,,,21,19348,27153,12736,27146,23549,15369
,,,,,,,,22,18431,25866,11773,24985,22131,14376
,,,,,,,,23,16852,23649,10934,23104,20395,13645
,,,,,,,,24,15433,21658,10335,21668,19018,13137
,,,,,,,,25,14490,20335,9799,20651,17077,12747
,,,,,,,,26,13995,19640,9575,20037,16644,12436
,,,,,,,,27,13606,19093,9468,19750,16456,12262
,,,,,,,,28,13457,18860,9628,19995,16704,12422
,,,,,,,,29,13496,18174,10203,20723,17722,12948
,,,,,,,,30,13756,17184,10846,20577,19254,13388
,,,,,,,,31,13580,16506,11450,20591,20887,13622
,,,,,,,,32,11750,16114,12083,21337,22317,14075
,,,,,,,,33,11266,16012,12724,22540,23471,14660
,,,,,,,,34,12460,17586,13347,24038,24394,15394
,,,,,,,,35,15157,19598,13858,25460,25023,15956
,,,,,,,,36,17040,21218,14355,27008,25625,16509
,,,,,,,,37,18792,23984,14805,28794,26120,16986
,,,,,,,,38,20253,26683,15161,30451,26455,16979
,,,,,,,,39,21744,29697,15345,32085,26558,17215
,,,,,,,,40,22916,32133,15483,33316,26690,17297
,,,,,,,,41,23741,33329,15402,33718,26681,17176
,,,,,,,,42,23626,33156,15129,32630,26437,16862
,,,,,,,,43,22926,32173,14896,32144,25965,16756
,,,,,,,,44,22322,31326,14518,30927,25828,16747
,,,,,,,,45,22223,31187,13625,28967,25200,16001
,,,,,,,,46,20893,29320,12534,26574,23506,14932
,,,,,,,,47,18956,26602,11587,24412,21482,14113
,,,,,,,,48,17200,24138,10859,23014,19799,13569
,,,,,,,,49,15914,22333,10367,21814,18812,13084
,,,,,,,,50,15032,21095,10076,21040,18182,12710
,,,,,,,,51,14485,20328,9945,20650,17842,12515
,,,,,,,,52,14231,19957,10097,20780,18038,12620
,,,,,,,,53,13665,19411,10574,21457,18871,13151
,,,,,,,,54,12708,18749,11150,21337,20231,13548
,,,,,,,,55,11982,18095,11453,21306,21660,13607
,,,,,,,,56,11598,17720,12264,21853,22986,14070
,,,,,,,,57,11937,17287,12862,22945,23916,14668
,,,,,,,,58,12694,19181,13420,24493,24550,15436
,,,,,,,,59,13854,21350,13922,25943,25108,16034
,,,,,,,,60,15372,22246,14448,27242,25618,16719
,,,,,,,,61,17100,25685,14850,28717,26003,17107
,,,,,,,,62,19332,28808,15253,30367,26166,17492
,,,,,,,,63,21855,31957,15458,32022,26180,17773
,,,,,,,,64,24218,34662,15556,33355,25939,17930
,,,,,,,,65,25556,35905,15472,33938,25909,17849
,,,,,,,,66,25192,35354,15214,32853,25403,17448
,,,,,,,,67,24322,34132,14886,32328,24881,17258
,,,,,,,,68,23781,33373,14555,31158,24767,17149
,,,,,,,,69,23787,33381,13724,29225,24241,16348
,,,,,,,,70,22418,31461,12603,26807,22694,15279
,,,,,,,,71,20268,28442,11700,24723,20860,14385
,,,,,,,,72,18212,25559,11005,23107,19267,13931
,,,,,,,,73,17005,23863,10530,22000,18416,13443
,,,,,,,,74,16240,22791,10224,21169,17824,13094
,,,,,,,,75,15639,21947,10118,20730,17697,12852
,,,,,,,,76,15313,21477,10256,20868,17910,12933
,,,,,,,,77,14552,20672,10732,21548,18763,13489
,,,,,,,,78,13205,19794,11303,21415,20261,13918
,,,,,,,,79,12302,19312,11786,21451,21775,13974
,,,,,,,,80,12050,19487,12460,21734,23012,14348
,,,,,,,,81,12287,18538,12964,22670,23715,14920
,,,,,,,,82,13053,20730,13450,24188,24221,15708
,,,,,,,,83,14337,23325,13906,25624,24914,16328
,,,,,,,,84,15889,24944,14212,27018,25100,16774
,,,,,,,,85,17712,28171,14576,28753,25555,17120
,,,,,,,,86,20019,31100,14774,30414,25573,17424
,,,,,,,,87,22663,33943,14841,31819,25603,17695
,,,,,,,,88,25287,36475,14879,32936,25639,18032
,,,,,,,,89,26675,37476,14764,33229,25493,18024
,,,,,,,,90,26274,36871,14391,31993,25168,17634
,,,,,,,,91,25338,35557,14106,31515,24869,17432
,,,,,,,,92,24643,34582,13889,30462,25034,17282
,,,,,,,,93,24406,34251,13284,28608,24725,16503
,,,,,,,,94,22814,32016,12264,26522,23032,15331
,,,,,,,,95,20600,28909,11376,24646,21095,14489
,,,,,,,,96,18522,25994,10781,23256,19697,13835
,,,,,,,,97,17251,24211,10372,22138,18674,13430
,,,,,,,,98,16340,22930,10105,21337,18095,13025
,,,,,,,,99,15800,22172,10006,20887,17801,12798
,,,,,,,,100,15440,21655,10145,21008,18007,12838
,,,,,,,,101,14732,20768,10724,21644,18915,13388
,,,,,,,,102,13656,19658,11348,21508,20366,13846
,,,,,,,,103,12769,19091,11750,21551,21841,14005
,,,,,,,,104,12245,19006,12122,21969,22941,14495
,,,,,,,,105,12410,18518,12633,22864,23714,14930
,,,,,,,,106,13280,21163,13047,24076,24365,15566
,,,,,,,,107,14543,23979,13440,25290,24726,16151
,,,,,,,,108,16029,24463,13809,26583,25120,16626
